Freq_GHz	Meas_abs_dB
0.33	-17.42
0.83	-17.49597
1.33	-17.761515
1.83	-17.8578
2.5	-18.229403
2.92	-18.07
3.42	-18.025075
3.92	-18.1134
4.42	-17.9868
4.92	-18.39
5.58	-18.215075
6.08	-18.5712
6.67	-18.5932
7.17	-18.6432
7.67	-18.414848
8.17	-18.444925
8.67	-18.6766
9.17	-18.9632
9.83	-18.865224
10.33	-19.087879
11	-18.9498
11.33	-18.97
11.83	-18.61
12.5	-19.09
13	-19.498193
13.67	-20.064545
14.17	-19.469552
14.67	-19.5496
15.17	-19.4432
15.67	-19.833
16.17	-19.4498
16.67	-20.3402
17.33	-20.575075
17.83	-20.417576
18.33	-19.98
18.83	-19.877879
19.33	-20.06
19.83	-20.942727
20.33	-20.46
21	-21.2736
21.5	-21
17.17	-20.487463
17.67	-20.43
18.17	-19.992424
18.67	-20.01
19	-20.015
19.67	-20.36
20.33	-20.87
20.67	-21.7032
21.17	-20.7572
21.67	-21.03
22.17	-20.5732
22.67	-21.017463
23.33	-21.2804
24	-21.8136
24.33	-22.0204
24.83	-22.2
25.33	-22.09
25.83	-21.81
26.33	-21.82
