Freq_GHz	Meas_dBm
0.83	-21.24597
1.5	-21.22
2	-21.23
2.5	-21.489403
2.92	-21.46
3.58	-21.417463
3.92	-21.4834
4.58	-21.4932
5.08	-21.65
5.58	-21.605075
6.08	-21.6312
6.67	-21.6432
7.17	-21.6732
7.67	-21.594848
8.17	-21.594925
8.67	-21.6866
9.33	-21.8468
9.83	-21.695224
10.33	-21.827879
10.67	-21.722121
11.17	-21.6696
11.67	-21.6196
12.33	-21.88
12.83	-22.014578
13.25	-22.044096
13.83	-21.92
14.33	-22.055224
14.83	-21.7404
15.67	-21.813
16	-21.75
16.5	-22.53
17	-22.17
17.5	-22.202537
18	-21.965
18.67	-21.92
19.17	-21.912121
19.67	-22.18
20.17	-22.457273
20.67	-22.9132
21.17	-22.2872
21.67	-22.38
22.17	-22.1632
22.67	-22.247463
23.17	-22.27
23.67	-22.86
24.33	-23.0404
24.83	-23.09
25.33	-23.04
25.83	-22.61
26.33	-23.09
26.83	-23.72
27.42	-23.604
27.92	-24.07
28.42	-23.999697
29.08	-23.56
29.42	-23.3924
29.92	-23.222
30.58	-24.98
31.33	-25.653333
