Freq_GHz	Model_dBm
0.1	-16.020692
0.10998	-16.020712
0.11995999	-16.020733
0.12993999	-16.020756
0.13991998	-16.020781
0.14989998	-16.020807
0.15987997	-16.020836
0.16985997	-16.020866
0.17983996	-16.020899
0.18981996	-16.020933
0.19979996	-16.020969
0.20977995	-16.021006
0.21975995	-16.021046
0.22973994	-16.021087
0.23971994	-16.021131
0.24969993	-16.021176
0.25967993	-16.021223
0.26965992	-16.021272
0.27963992	-16.021322
0.28961992	-16.021375
0.29959991	-16.021429
0.30957991	-16.021485
0.3195599	-16.021543
0.3295399	-16.021603
0.33951989	-16.021665
0.34949989	-16.021728
0.35947988	-16.021794
0.36945988	-16.021861
0.37943988	-16.02193
0.38941987	-16.022001
0.39939987	-16.022074
0.40937986	-16.022148
0.41935986	-16.022224
0.42933985	-16.022303
0.43931985	-16.022383
0.44929984	-16.022465
0.45927984	-16.022549
0.46925984	-16.022634
0.47923983	-16.022722
0.48921983	-16.022811
0.49919982	-16.022902
0.50917982	-16.022995
0.51915981	-16.02309
0.52913981	-16.023186
0.5391198	-16.023285
0.5490998	-16.023385
0.5590798	-16.023487
0.56905979	-16.023591
0.57903979	-16.023697
0.58901978	-16.023805
0.59899978	-16.023915
0.60897977	-16.024026
0.61895977	-16.024139
0.62893976	-16.024254
0.63891976	-16.024371
0.64889976	-16.02449
0.65887975	-16.024611
0.66885975	-16.024733
0.67883974	-16.024857
0.68881974	-16.024983
0.69879973	-16.025111
0.70877973	-16.025241
0.71875972	-16.025373
0.72873972	-16.025506
0.73871972	-16.025642
0.74869971	-16.025779
0.75867971	-16.025918
0.7686597	-16.026059
0.7786397	-16.026201
0.78861969	-16.026346
0.79859969	-16.026492
0.80857968	-16.02664
0.81855968	-16.02679
0.82853968	-16.026942
0.83851967	-16.027096
0.84849967	-16.027252
0.85847966	-16.027409
0.86845966	-16.027568
0.87843965	-16.02773
0.88841965	-16.027893
0.89839964	-16.028057
0.90837964	-16.028224
0.91835964	-16.028392
0.92833963	-16.028563
0.93831963	-16.028735
0.94829962	-16.028909
0.95827962	-16.029085
0.96825961	-16.029263
0.97823961	-16.029442
0.9882196	-16.029624
0.9981996	-16.029807
1.0081796	-16.029992
1.0181596	-16.030179
1.0281396	-16.030368
1.0381196	-16.030558
1.0480996	-16.030751
1.0580796	-16.030945
1.0680596	-16.031141
1.0780396	-16.031339
1.0880196	-16.031539
1.0979996	-16.031741
1.1079796	-16.031944
1.1179595	-16.032149
1.1279395	-16.032357
1.1379195	-16.032566
1.1478995	-16.032777
1.1578795	-16.032989
1.1678595	-16.033204
1.1778395	-16.03342
1.1878195	-16.033639
1.1977995	-16.033859
1.2077795	-16.034081
1.2177595	-16.034304
1.2277395	-16.03453
1.2377195	-16.034758
1.2476995	-16.034987
1.2576795	-16.035218
1.2676595	-16.035451
1.2776395	-16.035686
1.2876195	-16.035923
1.2975995	-16.036161
1.3075795	-16.036402
1.3175595	-16.036644
1.3275395	-16.036888
1.3375194	-16.037134
1.3474994	-16.037382
1.3574794	-16.037632
1.3674594	-16.037883
1.3774394	-16.038136
1.3874194	-16.038392
1.3973994	-16.038649
1.4073794	-16.038908
1.4173594	-16.039168
1.4273394	-16.039431
1.4373194	-16.039695
1.4472994	-16.039962
1.4572794	-16.04023
1.4672594	-16.0405
1.4772394	-16.040772
1.4872194	-16.041045
1.4971994	-16.041321
1.5071794	-16.041598
1.5171594	-16.041877
1.5271394	-16.042158
1.5371194	-16.042441
1.5470994	-16.042726
1.5570794	-16.043013
1.5670593	-16.043301
1.5770393	-16.043591
1.5870193	-16.043883
1.5969993	-16.044177
1.6069793	-16.044473
1.6169593	-16.044771
1.6269393	-16.045071
1.6369193	-16.045372
1.6468993	-16.045675
1.6568793	-16.04598
1.6668593	-16.046287
1.6768393	-16.046596
1.6868193	-16.046907
1.6967993	-16.047219
1.7067793	-16.047533
1.7167593	-16.04785
1.7267393	-16.048168
1.7367193	-16.048488
1.7466993	-16.048809
1.7566793	-16.049133
1.7666593	-16.049458
1.7766393	-16.049786
1.7866192	-16.050115
1.7965992	-16.050446
1.8065792	-16.050779
1.8165592	-16.051113
1.8265392	-16.05145
1.8365192	-16.051788
1.8464992	-16.052129
1.8564792	-16.052471
1.8664592	-16.052815
1.8764392	-16.05316
1.8864192	-16.053508
1.8963992	-16.053858
1.9063792	-16.054209
1.9163592	-16.054562
1.9263392	-16.054917
1.9363192	-16.055274
1.9462992	-16.055633
1.9562792	-16.055994
1.9662592	-16.056356
1.9762392	-16.05672
1.9862192	-16.057087
1.9961992	-16.057455
2.0061792	-16.057825
2.0161591	-16.058196
2.0261391	-16.05857
2.0361191	-16.058945
2.0460991	-16.059323
2.0560791	-16.059702
2.0660591	-16.060083
2.0760391	-16.060466
2.0860191	-16.06085
2.0959991	-16.061237
2.1059791	-16.061626
2.1159591	-16.062016
2.1259391	-16.062408
2.1359191	-16.062802
2.1458991	-16.063198
2.1558791	-16.063596
2.1658591	-16.063995
2.1758391	-16.064397
2.1858191	-16.0648
2.1957991	-16.065205
2.2057791	-16.065612
2.2157591	-16.066021
2.2257391	-16.066432
2.235719	-16.066844
2.245699	-16.067259
2.255679	-16.067675
2.265659	-16.068093
2.275639	-16.068513
2.285619	-16.068935
2.295599	-16.069359
2.305579	-16.069784
2.315559	-16.070212
2.325539	-16.070641
2.335519	-16.071072
2.345499	-16.071505
2.355479	-16.07194
2.365459	-16.072377
2.375439	-16.072815
2.385419	-16.073256
2.395399	-16.073698
2.405379	-16.074142
2.415359	-16.074588
2.425339	-16.075036
2.435319	-16.075486
2.445299	-16.075937
2.455279	-16.076391
2.4652589	-16.076846
2.4752389	-16.077303
2.4852189	-16.077763
2.4951989	-16.078223
2.5051789	-16.078686
2.5151589	-16.079151
2.5251389	-16.079617
2.5351189	-16.080086
2.5450989	-16.080556
2.5550789	-16.081028
2.5650589	-16.081502
2.5750389	-16.081978
2.5850189	-16.082455
2.5949989	-16.082935
2.6049789	-16.083416
2.6149589	-16.0839
2.6249389	-16.084385
2.6349189	-16.084872
2.6448989	-16.085361
2.6548789	-16.085851
2.6648589	-16.086344
2.6748389	-16.086838
2.6848188	-16.087335
2.6947988	-16.087833
2.7047788	-16.088333
2.7147588	-16.088835
2.7247388	-16.089338
2.7347188	-16.089844
2.7446988	-16.090352
2.7546788	-16.090861
2.7646588	-16.091372
2.7746388	-16.091885
2.7846188	-16.0924
2.7945988	-16.092917
2.8045788	-16.093436
2.8145588	-16.093956
2.8245388	-16.094479
2.8345188	-16.095003
2.8444988	-16.095529
2.8544788	-16.096057
2.8644588	-16.096587
2.8744388	-16.097119
2.8844188	-16.097652
2.8943988	-16.098188
2.9043788	-16.098725
2.9143587	-16.099264
2.9243387	-16.099806
2.9343187	-16.100349
2.9442987	-16.100893
2.9542787	-16.10144
2.9642587	-16.101989
2.9742387	-16.102539
2.9842187	-16.103091
2.9941987	-16.103646
3.0041787	-16.104202
3.0141587	-16.10476
3.0241387	-16.105319
3.0341187	-16.105881
3.0440987	-16.106445
3.0540787	-16.10701
3.0640587	-16.107577
3.0740387	-16.108146
3.0840187	-16.108717
3.0939987	-16.10929
3.1039787	-16.109865
3.1139587	-16.110442
3.1239387	-16.11102
3.1339186	-16.111601
3.1438986	-16.112183
3.1538786	-16.112767
3.1638586	-16.113353
3.1738386	-16.113941
3.1838186	-16.114531
3.1937986	-16.115122
3.2037786	-16.115716
3.2137586	-16.116311
3.2237386	-16.116908
3.2337186	-16.117508
3.2436986	-16.118109
3.2536786	-16.118711
3.2636586	-16.119316
3.2736386	-16.119923
3.2836186	-16.120531
3.2935986	-16.121142
3.3035786	-16.121754
3.3135586	-16.122368
3.3235386	-16.122984
3.3335186	-16.123602
3.3434986	-16.124222
3.3534786	-16.124843
3.3634585	-16.125467
3.3734385	-16.126092
3.3834185	-16.12672
3.3933985	-16.127349
3.4033785	-16.12798
3.4133585	-16.128613
3.4233385	-16.129247
3.4333185	-16.129884
3.4432985	-16.130523
3.4532785	-16.131163
3.4632585	-16.131805
3.4732385	-16.132449
3.4832185	-16.133095
3.4931985	-16.133743
3.5031785	-16.134393
3.5131585	-16.135045
3.5231385	-16.135699
3.5331185	-16.136354
3.5430985	-16.137011
3.5530785	-16.137671
3.5630585	-16.138332
3.5730385	-16.138995
3.5830184	-16.139659
3.5929984	-16.140326
3.6029784	-16.140995
3.6129584	-16.141665
3.6229384	-16.142338
3.6329184	-16.143012
3.6428984	-16.143688
3.6528784	-16.144366
3.6628584	-16.145046
3.6728384	-16.145728
3.6828184	-16.146412
3.6927984	-16.147097
3.7027784	-16.147785
3.7127584	-16.148474
3.7227384	-16.149165
3.7327184	-16.149858
3.7426984	-16.150553
3.7526784	-16.15125
3.7626584	-16.151949
3.7726384	-16.15265
3.7826184	-16.153352
3.7925984	-16.154057
3.8025784	-16.154763
3.8125583	-16.155471
3.8225383	-16.156181
3.8325183	-16.156893
3.8424983	-16.157607
3.8524783	-16.158323
3.8624583	-16.159041
3.8724383	-16.15976
3.8824183	-16.160482
3.8923983	-16.161205
3.9023783	-16.16193
3.9123583	-16.162657
3.9223383	-16.163386
3.9323183	-16.164117
3.9422983	-16.16485
3.9522783	-16.165585
3.9622583	-16.166321
3.9722383	-16.16706
3.9822183	-16.1678
3.9921983	-16.168542
4.0021783	-16.169286
4.0121583	-16.170032
4.0221383	-16.17078
4.0321182	-16.17153
4.0420982	-16.172282
4.0520782	-16.173035
4.0620582	-16.173791
4.0720382	-16.174548
4.0820182	-16.175307
4.0919982	-16.176068
4.1019782	-16.176831
4.1119582	-16.177596
4.1219382	-16.178363
4.1319182	-16.179132
4.1418982	-16.179902
4.1518782	-16.180675
4.1618582	-16.181449
4.1718382	-16.182226
4.1818182	-16.183004
4.1917982	-16.183784
4.2017782	-16.184566
4.2117582	-16.18535
4.2217382	-16.186136
4.2317182	-16.186923
4.2416982	-16.187713
4.2516782	-16.188504
4.2616581	-16.189298
4.2716381	-16.190093
4.2816181	-16.19089
4.2915981	-16.191689
4.3015781	-16.19249
4.3115581	-16.193293
4.3215381	-16.194098
4.3315181	-16.194904
4.3414981	-16.195713
4.3514781	-16.196523
4.3614581	-16.197336
4.3714381	-16.19815
4.3814181	-16.198966
4.3913981	-16.199784
4.4013781	-16.200604
4.4113581	-16.201426
4.4213381	-16.20225
4.4313181	-16.203076
4.4412981	-16.203903
4.4512781	-16.204733
4.4612581	-16.205564
4.4712381	-16.206397
4.481218	-16.207232
4.491198	-16.20807
4.501178	-16.208909
4.511158	-16.209749
4.521138	-16.210592
4.531118	-16.211437
4.541098	-16.212283
4.551078	-16.213132
4.561058	-16.213982
4.571038	-16.214835
4.581018	-16.215689
4.590998	-16.216545
4.600978	-16.217403
4.610958	-16.218263
4.620938	-16.219125
4.630918	-16.219989
4.640898	-16.220854
4.650878	-16.221722
4.660858	-16.222591
4.670838	-16.223463
4.680818	-16.224336
4.690798	-16.225211
4.700778	-16.226088
4.7107579	-16.226967
4.7207379	-16.227848
4.7307179	-16.228731
4.7406979	-16.229616
4.7506779	-16.230503
4.7606579	-16.231391
4.7706379	-16.232282
4.7806179	-16.233174
4.7905979	-16.234068
4.8005779	-16.234964
4.8105579	-16.235863
4.8205379	-16.236763
4.8305179	-16.237665
4.8404979	-16.238568
4.8504779	-16.239474
4.8604579	-16.240382
4.8704379	-16.241291
4.8804179	-16.242203
4.8903979	-16.243116
4.9003779	-16.244032
4.9103579	-16.244949
4.9203379	-16.245868
4.9303178	-16.246789
4.9402978	-16.247712
4.9502778	-16.248637
4.9602578	-16.249564
4.9702378	-16.250493
4.9802178	-16.251423
4.9901978	-16.252356
5.0001778	-16.25329
5.0101578	-16.254227
5.0201378	-16.255165
5.0301178	-16.256105
5.0400978	-16.257047
5.0500778	-16.257992
5.0600578	-16.258937
5.0700378	-16.259885
5.0800178	-16.260835
5.0899978	-16.261787
5.0999778	-16.262741
5.1099578	-16.263696
5.1199378	-16.264654
5.1299178	-16.265613
5.1398978	-16.266574
5.1498778	-16.267538
5.1598577	-16.268503
5.1698377	-16.26947
5.1798177	-16.270439
5.1897977	-16.27141
5.1997777	-16.272383
5.2097577	-16.273358
5.2197377	-16.274334
5.2297177	-16.275313
5.2396977	-16.276293
5.2496777	-16.277276
5.2596577	-16.27826
5.2696377	-16.279247
5.2796177	-16.280235
5.2895977	-16.281225
5.2995777	-16.282217
5.3095577	-16.283211
5.3195377	-16.284207
5.3295177	-16.285205
5.3394977	-16.286205
5.3494777	-16.287206
5.3594577	-16.28821
5.3694377	-16.289216
5.3794176	-16.290223
5.3893976	-16.291233
5.3993776	-16.292244
5.4093576	-16.293257
5.4193376	-16.294272
5.4293176	-16.29529
5.4392976	-16.296309
5.4492776	-16.29733
5.4592576	-16.298353
5.4692376	-16.299377
5.4792176	-16.300404
5.4891976	-16.301433
5.4991776	-16.302463
5.5091576	-16.303496
5.5191376	-16.30453
5.5291176	-16.305567
5.5390976	-16.306605
5.5490776	-16.307646
5.5590576	-16.308688
5.5690376	-16.309732
5.5790176	-16.310778
5.5889976	-16.311826
5.5989776	-16.312876
5.6089575	-16.313928
5.6189375	-16.314982
5.6289175	-16.316037
5.6388975	-16.317095
5.6488775	-16.318155
5.6588575	-16.319216
5.6688375	-16.32028
5.6788175	-16.321345
5.6887975	-16.322412
5.6987775	-16.323482
5.7087575	-16.324553
5.7187375	-16.325626
5.7287175	-16.326701
5.7386975	-16.327778
5.7486775	-16.328857
5.7586575	-16.329938
5.7686375	-16.331021
5.7786175	-16.332105
5.7885975	-16.333192
5.7985775	-16.334281
5.8085575	-16.335371
5.8185375	-16.336464
5.8285174	-16.337558
5.8384974	-16.338655
5.8484774	-16.339753
5.8584574	-16.340853
5.8684374	-16.341955
5.8784174	-16.34306
5.8883974	-16.344166
5.8983774	-16.345274
5.9083574	-16.346384
5.9183374	-16.347496
5.9283174	-16.348609
5.9382974	-16.349725
5.9482774	-16.350843
5.9582574	-16.351963
5.9682374	-16.353084
5.9782174	-16.354208
5.9881974	-16.355333
5.9981774	-16.356461
6.0081574	-16.35759
6.0181374	-16.358721
6.0281174	-16.359855
6.0380974	-16.36099
6.0480774	-16.362127
6.0580573	-16.363266
6.0680373	-16.364407
6.0780173	-16.36555
6.0879973	-16.366695
