Freq_GHz	Model_dBm
0.1	-17.958864
0.10998	-17.958877
0.11995999	-17.958892
0.12993999	-17.958908
0.13991998	-17.958925
0.14989998	-17.958944
0.15987997	-17.958963
0.16985997	-17.958984
0.17983996	-17.959007
0.18981996	-17.95903
0.19979996	-17.959055
0.20977995	-17.959081
0.21975995	-17.959109
0.22973994	-17.959137
0.23971994	-17.959167
0.24969993	-17.959198
0.25967993	-17.959231
0.26965992	-17.959265
0.27963992	-17.9593
0.28961992	-17.959336
0.29959991	-17.959373
0.30957991	-17.959412
0.3195599	-17.959452
0.3295399	-17.959494
0.33951989	-17.959536
0.34949989	-17.95958
0.35947988	-17.959625
0.36945988	-17.959672
0.37943988	-17.95972
0.38941987	-17.959769
0.39939987	-17.959819
0.40937986	-17.95987
0.41935986	-17.959923
0.42933985	-17.959977
0.43931985	-17.960033
0.44929984	-17.960089
0.45927984	-17.960147
0.46925984	-17.960206
0.47923983	-17.960267
0.48921983	-17.960329
0.49919982	-17.960392
0.50917982	-17.960456
0.51915981	-17.960522
0.52913981	-17.960588
0.5391198	-17.960656
0.5490998	-17.960726
0.5590798	-17.960796
0.56905979	-17.960868
0.57903979	-17.960942
0.58901978	-17.961016
0.59899978	-17.961092
0.60897977	-17.961169
0.61895977	-17.961247
0.62893976	-17.961327
0.63891976	-17.961407
0.64889976	-17.96149
0.65887975	-17.961573
0.66885975	-17.961658
0.67883974	-17.961744
0.68881974	-17.961831
0.69879973	-17.961919
0.70877973	-17.962009
0.71875972	-17.9621
0.72873972	-17.962192
0.73871972	-17.962286
0.74869971	-17.962381
0.75867971	-17.962477
0.7686597	-17.962574
0.7786397	-17.962673
0.78861969	-17.962773
0.79859969	-17.962874
0.80857968	-17.962977
0.81855968	-17.96308
0.82853968	-17.963185
0.83851967	-17.963292
0.84849967	-17.963399
0.85847966	-17.963508
0.86845966	-17.963618
0.87843965	-17.96373
0.88841965	-17.963843
0.89839964	-17.963956
0.90837964	-17.964072
0.91835964	-17.964188
0.92833963	-17.964306
0.93831963	-17.964425
0.94829962	-17.964545
0.95827962	-17.964667
0.96825961	-17.96479
0.97823961	-17.964914
0.9882196	-17.96504
0.9981996	-17.965166
1.0081796	-17.965294
1.0181596	-17.965424
1.0281396	-17.965554
1.0381196	-17.965686
1.0480996	-17.965819
1.0580796	-17.965954
1.0680596	-17.966089
1.0780396	-17.966226
1.0880196	-17.966364
1.0979996	-17.966504
1.1079796	-17.966645
1.1179595	-17.966787
1.1279395	-17.96693
1.1379195	-17.967075
1.1478995	-17.967221
1.1578795	-17.967368
1.1678595	-17.967516
1.1778395	-17.967666
1.1878195	-17.967817
1.1977995	-17.967969
1.2077795	-17.968123
1.2177595	-17.968278
1.2277395	-17.968434
1.2377195	-17.968591
1.2476995	-17.96875
1.2576795	-17.96891
1.2676595	-17.969071
1.2776395	-17.969233
1.2876195	-17.969397
1.2975995	-17.969562
1.3075795	-17.969729
1.3175595	-17.969896
1.3275395	-17.970065
1.3375194	-17.970235
1.3474994	-17.970407
1.3574794	-17.97058
1.3674594	-17.970754
1.3774394	-17.970929
1.3874194	-17.971105
1.3973994	-17.971283
1.4073794	-17.971462
1.4173594	-17.971643
1.4273394	-17.971825
1.4373194	-17.972008
1.4472994	-17.972192
1.4572794	-17.972377
1.4672594	-17.972564
1.4772394	-17.972752
1.4872194	-17.972942
1.4971994	-17.973132
1.5071794	-17.973324
1.5171594	-17.973518
1.5271394	-17.973712
1.5371194	-17.973908
1.5470994	-17.974105
1.5570794	-17.974303
1.5670593	-17.974503
1.5770393	-17.974704
1.5870193	-17.974906
1.5969993	-17.97511
1.6069793	-17.975314
1.6169593	-17.97552
1.6269393	-17.975728
1.6369193	-17.975936
1.6468993	-17.976146
1.6568793	-17.976358
1.6668593	-17.97657
1.6768393	-17.976784
1.6868193	-17.976999
1.6967993	-17.977215
1.7067793	-17.977433
1.7167593	-17.977652
1.7267393	-17.977872
1.7367193	-17.978093
1.7466993	-17.978316
1.7566793	-17.97854
1.7666593	-17.978765
1.7766393	-17.978992
1.7866192	-17.97922
1.7965992	-17.979449
1.8065792	-17.97968
1.8165592	-17.979911
1.8265392	-17.980144
1.8365192	-17.980379
1.8464992	-17.980614
1.8564792	-17.980851
1.8664592	-17.981089
1.8764392	-17.981329
1.8864192	-17.98157
1.8963992	-17.981812
1.9063792	-17.982055
1.9163592	-17.9823
1.9263392	-17.982546
1.9363192	-17.982793
1.9462992	-17.983041
1.9562792	-17.983291
1.9662592	-17.983542
1.9762392	-17.983795
1.9862192	-17.984048
1.9961992	-17.984303
2.0061792	-17.984559
2.0161591	-17.984817
2.0261391	-17.985076
2.0361191	-17.985336
2.0460991	-17.985597
2.0560791	-17.98586
2.0660591	-17.986124
2.0760391	-17.986389
2.0860191	-17.986656
2.0959991	-17.986923
