Freq_GHz	Model_dBohm
0.1	28.71454
0.10998	28.714534
0.11995999	28.714527
0.12993999	28.714519
0.13991998	28.714511
0.14989998	28.714502
0.15987997	28.714492
0.16985997	28.714482
0.17983996	28.714471
0.18981996	28.71446
0.19979996	28.714448
0.20977995	28.714435
0.21975995	28.714422
0.22973994	28.714408
0.23971994	28.714393
0.24969993	28.714378
0.25967993	28.714362
0.26965992	28.714346
0.27963992	28.714329
0.28961992	28.714311
0.29959991	28.714293
0.30957991	28.714274
0.3195599	28.714255
0.3295399	28.714235
0.33951989	28.714214
0.34949989	28.714193
0.35947988	28.714171
0.36945988	28.714148
0.37943988	28.714125
0.38941987	28.714101
0.39939987	28.714077
0.40937986	28.714052
0.41935986	28.714026
0.42933985	28.714
0.43931985	28.713973
0.44929984	28.713946
0.45927984	28.713918
0.46925984	28.713889
0.47923983	28.713859
0.48921983	28.713829
0.49919982	28.713799
0.50917982	28.713768
0.51915981	28.713736
0.52913981	28.713703
0.5391198	28.71367
0.5490998	28.713637
0.5590798	28.713602
0.56905979	28.713568
0.57903979	28.713532
0.58901978	28.713496
0.59899978	28.713459
0.60897977	28.713422
0.61895977	28.713384
0.62893976	28.713345
0.63891976	28.713306
0.64889976	28.713266
0.65887975	28.713226
0.66885975	28.713184
0.67883974	28.713143
0.68881974	28.7131
0.69879973	28.713058
0.70877973	28.713014
0.71875972	28.71297
0.72873972	28.712925
0.73871972	28.71288
0.74869971	28.712834
0.75867971	28.712787
0.7686597	28.71274
0.7786397	28.712692
0.78861969	28.712643
0.79859969	28.712594
0.80857968	28.712544
0.81855968	28.712494
0.82853968	28.712443
0.83851967	28.712391
0.84849967	28.712339
0.85847966	28.712286
0.86845966	28.712233
0.87843965	28.712179
0.88841965	28.712124
0.89839964	28.712069
0.90837964	28.712013
0.91835964	28.711956
0.92833963	28.711899
0.93831963	28.711841
0.94829962	28.711783
0.95827962	28.711724
0.96825961	28.711664
0.97823961	28.711604
0.9882196	28.711543
0.9981996	28.711482
1.0081796	28.71142
1.0181596	28.711357
1.0281396	28.711293
1.0381196	28.711229
1.0480996	28.711165
1.0580796	28.7111
1.0680596	28.711034
1.0780396	28.710967
1.0880196	28.7109
1.0979996	28.710833
1.1079796	28.710764
1.1179595	28.710695
1.1279395	28.710626
1.1379195	28.710556
1.1478995	28.710485
1.1578795	28.710413
1.1678595	28.710341
1.1778395	28.710269
1.1878195	28.710195
1.1977995	28.710122
1.2077795	28.710047
1.2177595	28.709972
1.2277395	28.709896
1.2377195	28.70982
1.2476995	28.709743
1.2576795	28.709665
1.2676595	28.709587
1.2776395	28.709508
1.2876195	28.709429
1.2975995	28.709349
1.3075795	28.709268
1.3175595	28.709187
1.3275395	28.709105
1.3375194	28.709022
1.3474994	28.708939
1.3574794	28.708855
1.3674594	28.708771
1.3774394	28.708686
1.3874194	28.7086
1.3973994	28.708514
1.4073794	28.708427
1.4173594	28.708339
1.4273394	28.708251
1.4373194	28.708162
1.4472994	28.708073
1.4572794	28.707983
1.4672594	28.707892
1.4772394	28.707801
1.4872194	28.707709
1.4971994	28.707616
1.5071794	28.707523
1.5171594	28.70743
1.5271394	28.707335
1.5371194	28.70724
1.5470994	28.707145
1.5570794	28.707048
1.5670593	28.706952
1.5770393	28.706854
1.5870193	28.706756
1.5969993	28.706657
1.6069793	28.706558
1.6169593	28.706458
1.6269393	28.706357
1.6369193	28.706256
1.6468993	28.706154
1.6568793	28.706052
1.6668593	28.705949
1.6768393	28.705845
1.6868193	28.705741
1.6967993	28.705636
1.7067793	28.70553
1.7167593	28.705424
1.7267393	28.705317
1.7367193	28.70521
1.7466993	28.705102
1.7566793	28.704993
1.7666593	28.704884
1.7766393	28.704774
1.7866192	28.704663
1.7965992	28.704552
1.8065792	28.70444
1.8165592	28.704328
1.8265392	28.704215
1.8365192	28.704101
1.8464992	28.703987
1.8564792	28.703872
1.8664592	28.703757
1.8764392	28.703641
1.8864192	28.703524
1.8963992	28.703406
1.9063792	28.703288
1.9163592	28.70317
1.9263392	28.70305
1.9363192	28.702931
1.9462992	28.70281
1.9562792	28.702689
1.9662592	28.702567
1.9762392	28.702445
1.9862192	28.702322
1.9961992	28.702198
