Freq_GHz	Norm_dB
0.1	-1.7577494e-05
0.109982	-3.1325836e-05
0.11996399	-4.6381348e-05
0.12994599	-6.2744043e-05
0.13992799	-8.0413936e-05
0.14990998	-9.9391042e-05
0.15989198	-0.00011967538
0.16987397	-0.00014126696
0.17985597	-0.00016416582
0.18983797	-0.00018837196
0.19981996	-0.00021388541
0.20980196	-0.0002407062
0.21978396	-0.00026883434
0.22976595	-0.00029826986
0.23974795	-0.00032901279
0.24972995	-0.00036106316
0.25971194	-0.00039442098
0.26969394	-0.00042908631
0.27967594	-0.00046505915
0.28965793	-0.00050233956
0.29963993	-0.00054092755
0.30962192	-0.00058082317
0.31960392	-0.00062202644
0.32958592	-0.00066453742
0.33956791	-0.00070835612
0.34954991	-0.0007534826
0.35953191	-0.0007999169
0.3695139	-0.00084765904
0.3794959	-0.00089670909
0.3894779	-0.00094706708
0.39945989	-0.00099873305
0.40944189	-0.0010517071
0.41942388	-0.0011059891
0.42940588	-0.0011615793
0.43938788	-0.0012184777
0.44936987	-0.0012766843
0.45935187	-0.0013361992
0.46933387	-0.0013970225
0.47931586	-0.0014591541
0.48929786	-0.0015225941
0.49927986	-0.0015873427
0.50926185	-0.0016533998
0.51924385	-0.0017207655
0.52922585	-0.0017894399
0.53920784	-0.001859423
0.54918984	-0.0019307149
0.55917183	-0.0020033157
0.56915383	-0.0020772254
0.57913583	-0.0021524441
0.58911782	-0.0022289719
0.59909982	-0.0023068088
0.60908182	-0.0023859549
0.61906381	-0.0024664102
0.62904581	-0.0025481749
0.63902781	-0.002631249
0.6490098	-0.0027156326
0.6589918	-0.0028013257
0.66897379	-0.0028883285
0.67895579	-0.002976641
0.68893779	-0.0030662633
0.69891978	-0.0031571954
0.70890178	-0.0032494375
0.71888378	-0.0033429896
0.72886577	-0.0034378519
0.73884777	-0.0035340243
0.74882977	-0.0036315071
0.75881176	-0.0037303002
0.76879376	-0.0038304037
0.77877576	-0.0039318178
0.78875775	-0.0040345426
0.79873975	-0.004138578
0.80872174	-0.0042439243
0.81870374	-0.0043505816
0.82868574	-0.0044585498
0.83866773	-0.0045678291
0.84864973	-0.0046784196
0.85863173	-0.0047903215
0.86861372	-0.0049035347
0.87859572	-0.0050180594
0.88857772	-0.0051338958
0.89855971	-0.0052510438
0.90854171	-0.0053695036
0.9185237	-0.0054892754
0.9285057	-0.0056103592
0.9384877	-0.0057327551
0.94846969	-0.0058564632
0.95845169	-0.0059814837
0.96843369	-0.0061078166
0.97841568	-0.0062354621
0.98839768	-0.0063644203
0.99837968	-0.0064946913
1.0083617	-0.0066262751
1.0183437	-0.006759172
1.0283257	-0.0068933821
1.0383077	-0.0070289054
1.0482897	-0.0071657421
1.0582717	-0.0073038922
1.0682537	-0.0074433561
1.0782356	-0.0075841336
1.0882176	-0.007726225
1.0981996	-0.0078696305
1.1081816	-0.00801435
1.1181636	-0.0081603838
1.1281456	-0.008307732
1.1381276	-0.0084563947
1.1481096	-0.008606372
1.1580916	-0.0087576641
1.1680736	-0.0089102711
1.1780556	-0.0090641931
1.1880376	-0.0092194304
1.1980196	-0.0093759829
1.2080016	-0.0095338509
1.2179836	-0.0096930345
1.2279656	-0.0098535338
1.2379476	-0.010015349
1.2479296	-0.01017848
1.2579116	-0.010342928
1.2678936	-0.010508691
1.2778756	-0.010675771
1.2878576	-0.010844168
1.2978396	-0.011013881
1.3078216	-0.011184912
1.3178036	-0.011357259
1.3277856	-0.011530924
1.3377676	-0.011705906
1.3477495	-0.011882205
1.3577315	-0.012059822
1.3677135	-0.012238757
1.3776955	-0.01241901
1.3876775	-0.012600581
1.3976595	-0.01278347
1.4076415	-0.012967678
1.4176235	-0.013153204
1.4276055	-0.013340049
1.4375875	-0.013528213
1.4475695	-0.013717697
1.4575515	-0.013908499
1.4675335	-0.014100621
1.4775155	-0.014294062
1.4874975	-0.014488824
1.4974795	-0.014684905
1.5074615	-0.014882306
1.5174435	-0.015081028
1.5274255	-0.01528107
1.5374075	-0.015482432
1.5473895	-0.015685116
1.5573715	-0.01588912
1.5673535	-0.016094446
1.5773355	-0.016301093
1.5873175	-0.016509061
1.5972995	-0.016718352
1.6072815	-0.016928964
1.6172635	-0.017140898
1.6272454	-0.017354154
1.6372274	-0.017568733
1.6472094	-0.017784635
1.6571914	-0.018001859
1.6671734	-0.018220407
1.6771554	-0.018440277
1.6871374	-0.018661471
1.6971194	-0.018883989
1.7071014	-0.01910783
1.7170834	-0.019332995
1.7270654	-0.019559485
1.7370474	-0.019787299
1.7470294	-0.020016437
1.7570114	-0.0202469
1.7669934	-0.020478688
1.7769754	-0.020711802
1.7869574	-0.02094624
1.7969394	-0.021182005
1.8069214	-0.021419095
1.8169034	-0.021657511
1.8268854	-0.021897253
1.8368674	-0.022138322
1.8468494	-0.022380717
1.8568314	-0.022624439
1.8668134	-0.022869488
1.8767954	-0.023115864
1.8867774	-0.023363568
1.8967594	-0.023612599
1.9067413	-0.023862959
1.9167233	-0.024114646
1.9267053	-0.024367662
1.9366873	-0.024622006
1.9466693	-0.024877679
1.9566513	-0.025134681
1.9666333	-0.025393013
1.9766153	-0.025652673
1.9865973	-0.025913664
1.9965793	-0.026175984
2.0065613	-0.026439634
2.0165433	-0.026704615
2.0265253	-0.026970926
2.0365073	-0.027238568
2.0464893	-0.027507541
2.0564713	-0.027777845
2.0664533	-0.028049481
2.0764353	-0.028322449
2.0864173	-0.028596748
2.0963993	-0.02887238
2.1063813	-0.029149344
2.1163633	-0.02942764
2.1263453	-0.02970727
2.1363273	-0.029988233
2.1463093	-0.030270529
2.1562913	-0.030554159
2.1662733	-0.030839122
2.1762553	-0.03112542
2.1862372	-0.031413052
2.1962192	-0.031702019
2.2062012	-0.03199232
2.2161832	-0.032283957
2.2261652	-0.032576929
2.2361472	-0.032871237
2.2461292	-0.03316688
2.2561112	-0.03346386
2.2660932	-0.033762176
2.2760752	-0.034061828
2.2860572	-0.034362818
2.2960392	-0.034665145
2.3060212	-0.034968809
2.3160032	-0.03527381
2.3259852	-0.03558015
2.3359672	-0.035887828
2.3459492	-0.036196844
2.3559312	-0.036507199
2.3659132	-0.036818892
2.3758952	-0.037131925
2.3858772	-0.037446298
2.3958592	-0.03776201
2.4058412	-0.038079063
2.4158232	-0.038397455
2.4258052	-0.038717189
2.4357872	-0.039038263
