Freq_GHz	Norm_dB
0.1	-3.252683e-05
0.109982	-4.6967947e-05
0.11996399	-6.2782085e-05
0.12994599	-7.9969253e-05
0.13992799	-9.8529463e-05
0.14990998	-0.00011846273
0.15989198	-0.00013976905
0.16987397	-0.00016244846
0.17985597	-0.00018650095
0.18983797	-0.00021192655
0.19981996	-0.00023872527
0.20980196	-0.00026689713
0.21978396	-0.00029644214
0.22976595	-0.00032736033
0.23974795	-0.00035965171
0.24972995	-0.00039331629
0.25971194	-0.00042835411
0.26969394	-0.00046476518
0.27967594	-0.00050254952
0.28965793	-0.00054170716
0.29963993	-0.00058223812
0.30962192	-0.00062414242
0.31960392	-0.0006674201
0.32958592	-0.00071207117
0.33956791	-0.00075809567
0.34954991	-0.00080549361
0.35953191	-0.00085426504
0.3695139	-0.00090440997
0.3794959	-0.00095592845
0.3894779	-0.0010088205
0.39945989	-0.0010630861
0.40944189	-0.0011187254
0.41942388	-0.0011757384
0.42940588	-0.001234125
0.43938788	-0.0012938854
0.44936987	-0.0013550196
0.45935187	-0.0014175276
0.46933387	-0.0014814094
0.47931586	-0.0015466651
0.48929786	-0.0016132948
0.49927986	-0.0016812984
0.50926185	-0.001750676
0.51924385	-0.0018214277
0.52922585	-0.0018935535
0.53920784	-0.0019670534
0.54918984	-0.0020419275
0.55917183	-0.0021181758
0.56915383	-0.0021957984
0.57913583	-0.0022747953
0.58911782	-0.0023551666
0.59909982	-0.0024369123
0.60908182	-0.0025200324
0.61906381	-0.0026045271
0.62904581	-0.0026903964
0.63902781	-0.0027776402
0.6490098	-0.0028662588
0.6589918	-0.002956252
0.66897379	-0.00304762
0.67895579	-0.0031403629
0.68893779	-0.0032344807
0.69891978	-0.0033299734
0.70890178	-0.0034268411
0.71888378	-0.0035250839
0.72886577	-0.0036247018
0.73884777	-0.0037256948
0.74882977	-0.0038280632
0.75881176	-0.0039318068
0.76879376	-0.0040369258
0.77877576	-0.0041434202
0.78875775	-0.0042512901
0.79873975	-0.0043605356
0.80872174	-0.0044711567
0.81870374	-0.0045831535
0.82868574	-0.0046965261
0.83866773	-0.0048112744
0.84864973	-0.0049273987
0.85863173	-0.005044899
0.86861372	-0.0051637753
0.87859572	-0.0052840276
0.88857772	-0.0054056562
0.89855971	-0.0055286611
0.90854171	-0.0056530422
0.9185237	-0.0057787998
0.9285057	-0.0059059338
0.9384877	-0.0060344444
0.94846969	-0.0061643317
0.95845169	-0.0062955956
0.96843369	-0.0064282364
0.97841568	-0.006562254
0.98839768	-0.0066976485
0.99837968	-0.0068344201
1.0083617	-0.0069725688
1.0183437	-0.0071120947
1.0283257	-0.0072529979
1.0383077	-0.0073952785
1.0482897	-0.0075389365
1.0582717	-0.007683972
1.0682537	-0.0078303852
1.0782356	-0.0079781761
1.0882176	-0.0081273448
1.0981996	-0.0082778914
1.1081816	-0.0084298159
1.1181636	-0.0085831186
1.1281456	-0.0087377994
1.1381276	-0.0088938584
1.1481096	-0.0090512958
1.1580916	-0.0092101117
1.1680736	-0.0093703061
1.1780556	-0.0095318791
1.1880376	-0.0096948309
1.1980196	-0.0098591615
1.2080016	-0.010024871
1.2179836	-0.01019196
1.2279656	-0.010360427
1.2379476	-0.010530274
1.2479296	-0.010701501
1.2579116	-0.010874106
1.2678936	-0.011048091
1.2778756	-0.011223456
1.2878576	-0.011400201
1.2978396	-0.011578325
1.3078216	-0.01175783
1.3178036	-0.011938714
1.3277856	-0.012120979
1.3377676	-0.012304624
