Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
0.01	-17.427933	-177.78883	-17.306025	-179.98468
0.20995	-17.350817	-179.36699	-17.3044	-179.67835
0.4099	-17.304142	-178.60423	-17.299822	-179.37254
0.60985	-17.299564	-178.01639	-17.292298	-179.06774
0.8098	-17.29138	-177.08931	-17.281837	-178.76444
1.00975	-17.285036	-176.63605	-17.268453	-178.46312
1.2097	-17.277536	-175.73172	-17.252162	-178.16427
1.40965	-17.215466	-175.34143	-17.232986	-177.86835
1.6096	-17.212065	-174.59863	-17.210949	-177.57582
1.80955	-17.137722	-173.81602	-17.186078	-177.28713
2.0095	-17.099874	-173.23543	-17.158404	-177.00274
2.20945	-17.087053	-172.69055	-17.127962	-176.72305
2.4094	-17.010839	-171.93224	-17.094787	-176.4485
2.60935	-16.974995	-171.24838	-17.058921	-176.17947
2.8093	-16.89382	-170.70804	-17.020404	-175.91635
3.00925	-16.884378	-170.19724	-16.979282	-175.6595
3.2092	-16.756676	-169.7529	-16.935602	-175.40929
3.40915	-16.730165	-169.09709	-16.889412	-175.16604
3.6091	-16.663357	-168.47868	-16.840764	-174.93007
3.80905	-16.584997	-168.13596	-16.78971	-174.70168
4.009	-16.510239	-167.36838	-16.736304	-174.48115
4.20895	-16.41069	-167.11989	-16.680602	-174.26873
4.4089	-16.360403	-166.40825	-16.622658	-174.06468
4.60885	-16.261627	-166.20303	-16.562532	-173.86922
4.8088	-16.204079	-165.47118	-16.50028	-173.68254
5.00875	-16.106384	-165.18791	-16.435961	-173.50485
5.2087	-16.032507	-164.84407	-16.369634	-173.33632
5.40865	-15.921911	-164.30743	-16.301359	-173.17708
5.6086	-15.845021	-164.06171	-16.231194	-173.0273
5.80855	-15.772372	-163.59979	-16.159198	-172.88707
6.0085	-15.634723	-163.36426	-16.085431	-172.75652
6.20845	-15.584273	-162.98863	-16.009951	-172.63571
6.4084	-15.450788	-162.67738	-15.932817	-172.52474
6.60835	-15.420479	-162.42632	-15.854085	-172.42366
6.8083	-15.256091	-162.20834	-15.773814	-172.33252
7.00825	-15.181181	-161.94446	-15.692059	-172.25134
7.2082	-15.077091	-161.49875	-15.608877	-172.18016
7.40815	-14.975417	-161.59509	-15.524321	-172.11897
7.6081	-14.878313	-161.38921	-15.438447	-172.06778
7.80805	-14.730887	-161.1167	-15.351306	-172.02658
8.008	-14.674653	-160.92055	-15.26295	-171.99534
8.20795	-14.529219	-160.76529	-15.173432	-171.97404
8.4079	-14.472864	-160.77892	-15.082799	-171.96263
8.60785	-14.313023	-160.5226	-14.991101	-171.96106
8.8078	-14.239074	-160.59729	-14.898386	-171.96929
9.00775	-14.120217	-160.21045	-14.8047	-171.98725
9.2077	-14.033386	-160.36339	-14.710088	-172.01487
9.40765	-13.905294	-160.31483	-14.614595	-172.05208
9.6076	-13.804749	-160.17664	-14.518263	-172.09882
9.80755	-13.695829	-160.38988	-14.421135	-172.15498
10.0075	-13.60491	-160.0957	-14.323251	-172.22049
10.2075	-13.494461	-160.64612	-14.224626	-172.29527
10.4074	-13.380438	-160.2525	-14.125374	-172.37918
10.6074	-13.252077	-160.5708	-14.025432	-172.47221
10.8073	-13.166287	-160.26555	-13.924937	-172.57415
11.0073	-13.048253	-160.58383	-13.823823	-172.68502
11.2072	-12.958525	-160.76825	-13.722227	-172.8046
11.4072	-12.828773	-160.82686	-13.62008	-172.9329
11.6071	-12.684865	-160.95239	-13.517517	-173.0697
11.8071	-12.633934	-160.7867	-13.414467	-173.21503
12.007	-12.448009	-161.34514	-13.311063	-173.36863
12.207	-12.437675	-161.10652	-13.207232	-173.53055
12.4069	-12.215332	-161.50824	-13.103106	-173.70052
12.6069	-12.241683	-161.29927	-12.99861	-173.87861
12.8068	-12.043386	-162.06729	-12.893875	-174.06453
13.0068	-11.978368	-162.05797	-12.788823	-174.25837
13.2067	-11.852296	-162.44078	-12.683585	-174.45981
13.4067	-11.752309	-162.53249	-12.578081	-174.66897
13.6066	-11.689766	-162.92238	-12.47244	-174.88552
13.8066	-11.526129	-163.13589	-12.366581	-175.10958
14.0065	-11.495054	-163.50861	-12.260632	-175.34083
14.2065	-11.311527	-163.64575	-12.15451	-175.57938
14.4064	-11.280536	-163.97195	-12.048344	-175.82491
14.6064	-11.145564	-164.20511	-11.942047	-176.07756
14.8063	-11.080155	-164.83273	-11.835747	-176.33698
15.0063	-10.928907	-164.95995	-11.729359	-176.60333
15.2062	-10.819757	-165.40881	-11.623008	-176.87625
15.4062	-10.75006	-165.63705	-11.516607	-177.15592
15.6061	-10.650411	-166.06235	-11.410282	-177.44196
15.8061	-10.553985	-166.55525	-11.303944	-177.73457
16.006	-10.423848	-166.7588	-11.197719	-178.03337
16.206	-10.369203	-167.25981	-11.091516	-178.33856
16.4059	-10.219834	-167.505	-10.985461	-178.64975
16.6059	-10.171249	-167.9265	-10.879463	-178.96717
16.8058	-10.070394	-168.37984	-10.773645	-179.29042
17.0058	-9.9560747	-168.91701	-10.667917	-179.61972
17.2057	-9.8602133	-169.19641	-10.562402	-179.95468
17.4057	-9.7568359	-169.45024	-10.45701	179.70447
17.6056	-9.7104979	-170.18379	-10.35186	179.35813
17.8056	-9.5771351	-170.49986	-10.246864	179.00604
18.0055	-9.4938412	-171.04384	-10.14214	178.64864
18.2055	-9.4155922	-171.33635	-10.037599	178.28565
18.4054	-9.3112822	-171.97363	-9.9333594	177.91749
18.6054	-9.2207527	-172.23581	-9.8293313	177.54389
18.8053	-9.0996408	-172.71678	-9.7256327	177.1653
19.0053	-9.0587463	-173.2476	-9.6221735	176.78139
19.2052	-8.9277945	-173.68918	-9.5190706	176.39265
19.4052	-8.8335228	-174.40614	-9.4162343	175.99874
19.6051	-8.7645817	-174.54924	-9.3137805	175.60014
19.8051	-8.6327429	-175.42383	-9.2116198	175.19651
20.005	-8.5784092	-175.33064	-9.109867	174.78834
20.205	-8.4824877	-176.41551	-9.008433	174.37528
20.4049	-8.3976555	-176.68535	-8.9074318	173.95782
20.6049	-8.3036118	-177.33771	-8.8067746	173.53561
20.8048	-8.2199516	-177.72769	-8.7065742	173.10914
21.0048	-8.1903067	-178.3662	-8.6067424	172.67806
21.2047	-8.0350761	-179.2057	-8.5073909	172.24286
21.4047	-7.9831252	-179.65717	-8.408432	171.80317
21.6046	-7.8364468	-179.90358	-8.3099763	171.35951
21.8046	-7.8763361	179.08755	-8.2119366	170.91151
22.0045	-7.6880193	178.74037	-8.1144223	170.45967
22.2045	-7.6873288	177.80959	-8.017347	170.00361
22.4044	-7.5239272	177.74863	-7.9208188	169.54385
22.6044	-7.5095439	176.63132	-7.824752	169.08002
22.8043	-7.3958325	176.57024	-7.7292533	168.61263
23.0043	-7.3030386	175.56915	-7.6342377	168.14129
23.2042	-7.2450223	175.04587	-7.5398108	167.66653
23.4042	-7.1353312	174.64282	-7.4458883	167.18796
23.6041	-7.1193748	173.79083	-7.3525742	166.70613
23.8041	-6.9935379	173.30338	-7.2597852	166.2206
24.004	-6.9370618	172.48085	-7.1676239	165.73195
24.204	-6.8560824	172.08818	-7.0760078	165.23976
24.4039	-6.7742338	171.32837	-6.9850379	164.74458
24.6039	-6.7296576	170.62245	-6.8946325	164.246
24.8038	-6.5972676	170.03522	-6.8048913	163.74458
25.0038	-6.5725088	169.38359	-6.7157334	163.23989
