Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
0.01	-0.018988416	0.10482372	-5.2490592e-07	-0.063910802	0.9978146	0.0018255228	0.99999932	-0.0011154536
0.20995	0.0050115995	-1.3700469	-0.00023136932	-1.3418256	1.0002911	-0.02392335	0.99969915	-0.02341651
0.4099	0.0050031962	-2.7276926	-0.00088187861	-2.6198403	0.99944252	-0.047616656	0.99885338	-0.045704266
0.60985	-0.0023203497	-4.1082416	-0.0019519306	-3.8980498	0.99716407	-0.071621783	0.99746241	-0.067966057
0.8098	-0.0021234755	-5.475275	-0.0034413235	-5.1765491	0.99519414	-0.095392874	0.99552691	-0.090189221
1.00975	-0.0020370565	-6.7642856	-0.0053497752	-6.4554325	0.99280626	-0.11775738	0.99304779	-0.1123611
1.2097	-0.011534126	-8.1065969	-0.0076769215	-7.7347944	0.98869365	-0.14082809	0.99002624	-0.13446906
1.40965	-0.0097271279	-9.4154682	-0.010422315	-9.0147282	0.98542386	-0.1634092	0.98646371	-0.15650045
1.6096	-0.013672099	-10.79312	-0.013585421	-10.295327	0.98076475	-0.18696883	0.98236192	-0.17844266
1.80955	-0.015774311	-12.117577	-0.017165618	-11.576684	0.97594488	-0.20953763	0.97772285	-0.20028306
2.0095	-0.022404071	-13.441583	-0.021162194	-12.858889	0.97010195	-0.23185503	0.97254873	-0.22200909
2.20945	-0.031441059	-14.809508	-0.025574339	-14.142035	0.96328777	-0.25468263	0.96684211	-0.24360816
2.4094	-0.042231839	-16.10083	-0.030401149	-15.42621	0.95611507	-0.27598344	0.96060576	-0.26506773
2.60935	-0.037797716	-17.398556	-0.035641615	-16.711503	0.95010436	-0.29771836	0.95384275	-0.28637529
2.8093	-0.049320225	-18.716969	-0.041294622	-17.998003	0.94175261	-0.31907657	0.94655644	-0.30751835
3.00925	-0.048157617	-20.035763	-0.047358946	-19.285795	0.93428457	-0.34071234	0.93875044	-0.32848447
3.2092	-0.050770827	-21.337568	-0.053833242	-20.574964	0.92602419	-0.3617414	0.93042869	-0.34926122
3.40915	-0.049861033	-22.66633	-0.060716049	-21.865594	0.91748279	-0.38315801	0.92159537	-0.36983626
3.6091	-0.05792895	-24.033876	-0.068005776	-23.157766	0.90723396	-0.40456948	0.91225498	-0.39019727
3.80905	-0.072204821	-25.337599	-0.075700698	-24.451562	0.89631985	-0.42440829	0.90241231	-0.41033198
4.009	-0.072207719	-26.666882	-0.083798954	-25.747059	0.8862328	-0.44508701	0.89207243	-0.43022821
4.20895	-0.072780445	-27.979881	-0.092298534	-27.044334	0.87574357	-0.46524674	0.88124075	-0.44987383
4.4089	-0.082473628	-29.326231	-0.10119728	-28.343462	0.86360603	-0.48515312	0.86992294	-0.46925679
4.60885	-0.091209866	-30.656286	-0.11049286	-29.644515	0.85125547	-0.50456047	0.858125	-0.48836511
4.8088	-0.094130784	-31.930164	-0.1201828	-30.947565	0.83954556	-0.52318452	0.84585325	-0.50718692
5.00875	-0.10054819	-33.278378	-0.13026444	-32.252679	0.82639255	-0.54239213	0.83311429	-0.52571043
5.2087	-0.098862059	-34.588608	-0.14073493	-33.559923	0.81393223	-0.56125542	0.81991507	-0.54392398
5.40865	-0.1088887	-35.942471	-0.15159125	-34.86936	0.79952066	-0.57966013	0.80626284	-0.561816
5.6086	-0.12110238	-37.240135	-0.16283016	-36.181052	0.78508358	-0.59677812	0.79216518	-0.57937506
