Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit
0.01	-17.427933	-177.78883	-17.306025	-179.989	-0.13436305	-0.0051879412	-0.13636369	-2.6169093e-05
0.20995	-17.350817	-179.36699	-17.30445	-179.76926	-0.13565401	-0.0014987813	-0.13638731	-0.00054926706
0.4099	-17.304142	-178.60423	-17.300015	-179.55008	-0.13635279	-0.0033223178	-0.13645387	-0.0010715302
0.60985	-17.299564	-178.01639	-17.292727	-179.33203	-0.13638339	-0.004723552	-0.13656334	-0.0015921637
0.8098	-17.29138	-177.08931	-17.282598	-179.11564	-0.13641758	-0.0069361345	-0.1367157	-0.002110373
1.00975	-17.285036	-176.63605	-17.269643	-178.90145	-0.13645808	-0.0080209454	-0.1369109	-0.0026253639
1.2097	-17.277536	-175.73172	-17.253884	-178.68998	-0.13643224	-0.010182436	-0.13714888	-0.0031363432
1.40965	-17.215466	-175.34143	-17.235346	-178.48175	-0.13733764	-0.011191237	-0.13742957	-0.0036425182
1.6096	-17.212065	-174.59863	-17.214058	-178.27727	-0.13723474	-0.012975813	-0.1377529	-0.0041430971
1.80955	-17.137722	-173.81602	-17.190054	-178.07704	-0.13822271	-0.01497669	-0.13811876	-0.0046372896
2.0095	-17.099874	-173.23543	-17.16337	-177.88152	-0.13866677	-0.016448051	-0.13852705	-0.0051243064
2.20945	-17.087053	-172.69055	-17.134047	-177.69117	-0.13870868	-0.017792245	-0.13897764	-0.0056033596
2.4094	-17.010839	-171.93224	-17.10213	-177.50646	-0.13968132	-0.019799412	-0.13947041	-0.0060736631
2.60935	-16.974995	-171.24838	-17.067666	-177.32779	-0.14001165	-0.021553907	-0.1400052	-0.0065344325
2.8093	-16.89382	-170.70804	-17.030706	-177.15557	-0.14111482	-0.023088106	-0.14058186	-0.0069848854
3.00925	-16.884378	-170.19724	-16.991302	-176.99019	-0.14105664	-0.024371709	-0.14120023	-0.0074242414
3.2092	-16.756676	-169.7529	-16.949511	-176.83201	-0.1429497	-0.025842044	-0.1418601	-0.0078517223
3.40915	-16.730165	-169.09709	-16.905389	-176.68137	-0.14308059	-0.027560516	-0.1425613	-0.0082665527
3.6091	-16.663357	-168.47868	-16.858997	-176.53859	-0.14387719	-0.029327903	-0.14330361	-0.0086679594
3.80905	-16.584997	-168.13596	-16.810397	-176.40396	-0.14500144	-0.030461562	-0.1440868	-0.0090551723
4.009	-16.510239	-167.36838	-16.759652	-176.27777	-0.1458301	-0.032681401	-0.14491065	-0.0094274241
4.20895	-16.41069	-167.11989	-16.706825	-176.16025	-0.14736632	-0.033697556	-0.14577491	-0.0097839506
4.4089	-16.360403	-166.40825	-16.651982	-176.05164	-0.14778958	-0.035731537	-0.14667932	-0.010123991
4.60885	-16.261627	-166.20303	-16.595189	-175.95213	-0.14934943	-0.036675364	-0.1476236	-0.010446788
4.8088	-16.204079	-165.47118	-16.536513	-175.86192	-0.1498584	-0.038836448	-0.14860749	-0.010751588
5.00875	-16.106384	-165.18791	-16.47602	-175.78117	-0.15135742	-0.040024526	-0.14963066	-0.011037642
5.2087	-16.032507	-164.84407	-16.413778	-175.71	-0.15240528	-0.041281745	-0.15069283	-0.011304202
5.40865	-15.921911	-164.30743	-16.349853	-175.64854	-0.15395987	-0.043254625	-0.15179366	-0.011550529
5.6086	-15.845021	-164.06171	-16.284312	-175.59689	-0.15514023	-0.04430497	-0.15293283	-0.011775884
5.80855	-15.772372	-163.59979	-16.217221	-175.55513	-0.156078	-0.045936876	-0.15410998	-0.011979536
6.0085	-15.634723	-163.36426	-16.148646	-175.5233	-0.15837795	-0.04732211	-0.15532476	-0.012160757
6.20845	-15.584273	-162.98863	-16.078652	-175.50147	-0.15898506	-0.048641111	-0.1565768	-0.012318823
6.4084	-15.450788	-162.67738	-16.007303	-175.48964	-0.16117651	-0.050270705	-0.15786571	-0.012453017
6.60835	-15.420479	-162.42632	-15.934662	-175.48783	-0.16151731	-0.051154657	-0.15919109	-0.012562628
6.8083	-15.256091	-162.20834	-15.860791	-175.49603	-0.16440375	-0.052757873	-0.16055255	-0.012646948
7.00825	-15.181181	-161.94446	-15.785752	-175.51422	-0.16558091	-0.053978007	-0.16194965	-0.012705278
7.2082	-15.077091	-161.49875	-15.709603	-175.54236	-0.16714711	-0.055930694	-0.16338197	-0.012736921
7.40815	-14.975417	-161.59509	-15.632404	-175.58039	-0.16921008	-0.056304808	-0.16484905	-0.01274119
7.6081	-14.878313	-161.38921	-15.554212	-175.62827	-0.17090668	-0.057552286	-0.16635045	-0.012717402
7.80805	-14.730887	-161.1167	-15.475081	-175.68592	-0.17355187	-0.059363576	-0.1678857	-0.012664882
8.008	-14.674653	-160.92055	-15.395067	-175.75325	-0.17447355	-0.06034681	-0.1694543	-0.012582961
8.20795	-14.529219	-160.76529	-15.314222	-175.83018	-0.17725253	-0.061846291	-0.17105577	-0.012470978
8.4079	-14.472864	-160.77892	-15.232598	-175.91659	-0.17842111	-0.062206418	-0.17268961	-0.012328277
8.60785	-14.313023	-160.5226	-15.150244	-176.01239	-0.1814496	-0.064174139	-0.17435529	-0.012154213
8.8078	-14.239074	-160.59729	-15.067209	-176.11746	-0.18308522	-0.064484218	-0.1760523	-0.011948146
9.00775	-14.120217	-160.21045	-14.983539	-176.23167	-0.18516217	-0.066624336	-0.17778007	-0.011709445
9.2077	-14.033386	-160.36339	-14.899279	-176.35489	-0.18720144	-0.066794246	-0.17953807	-0.011437486
9.40765	-13.905294	-160.31483	-14.814474	-176.487	-0.18992506	-0.06794756	-0.18132573	-0.011131655
9.6076	-13.804749	-160.17664	-14.729166	-176.62785	-0.19196999	-0.069201877	-0.18314248	-0.010791346
9.80755	-13.695829	-160.38988	-14.643395	-176.77729	-0.19465189	-0.069351162	-0.18498772	-0.010415962
10.0075	-13.60491	-160.0957	-14.557201	-176.93519	-0.19633768	-0.071089914	-0.18686086	-0.010004913
10.2075	-13.494461	-160.64612	-14.470599	-177.10144	-0.19953272	-0.070086083	-0.18876178	-0.0095575064
10.4074	-13.380438	-160.2525	-14.383693	-177.27575	-0.20167671	-0.072399405	-0.1906884	-0.0090735202
10.6074	-13.252077	-160.5708	-14.296429	-177.45815	-0.20508428	-0.072339076	-0.19264203	-0.008551911
10.8073	-13.166287	-160.26555	-14.208929	-177.6483	-0.20672776	-0.074159519	-0.19462007	-0.0079926509
11.0073	-13.048253	-160.58383	-14.121138	-177.84623	-0.20997055	-0.074008917	-0.19662385	-0.0073946408
11.2072	-12.958525	-160.76825	-14.033175	-178.05159	-0.21239045	-0.074094172	-0.1986507	-0.00675795
11.4072	-12.828773	-160.82686	-13.944982	-178.26443	-0.21566383	-0.074988746	-0.20070197	-0.0060814232
11.6071	-12.684865	-160.95239	-13.856675	-178.48436	-0.21943323	-0.075760934	-0.20277493	-0.0053652298
11.8071	-12.633934	-160.7867	-13.768196	-178.71146	-0.22050239	-0.076844452	-0.20487095	-0.004608157
12.007	-12.448009	-161.34514	-13.679657	-178.94535	-0.22602767	-0.076307724	-0.20698724	-0.0038104773
12.207	-12.437675	-161.10652	-13.590996	-179.18609	-0.22597661	-0.077340358	-0.2091252	-0.0029709196
12.4069	-12.215332	-161.50824	-13.502327	-179.43329	-0.23238649	-0.077718272	-0.21128195	-0.0020898625
12.6069	-12.241683	-161.29927	-13.413583	-179.68704	-0.23139841	-0.078327328	-0.21345894	-0.0011659752
12.8068	-12.043386	-162.06729	-13.324877	-179.94693	-0.23779484	-0.076955586	-0.21565323	-0.00019974521
13.0068	-11.978368	-162.05797	-13.23614	179.78692	-0.23956891	-0.077572767	-0.21786627	0.00081021843
13.2067	-11.852296	-162.44078	-13.147482	179.51495	-0.24359194	-0.077081136	-0.22009508	0.0018633169
13.4067	-11.752309	-162.53249	-13.058834	179.23702	-0.24653673	-0.07757906	-0.22234112	0.0029610021
13.6066	-11.689766	-162.92238	-12.970303	178.95355	-0.2488443	-0.076448118	-0.22460137	0.0041025611
13.8066	-11.526129	-163.13589	-12.881819	178.66443	-0.25386536	-0.076956526	-0.2268773	0.0052895078
14.0065	-11.495054	-163.50861	-12.793488	178.37006	-0.25527224	-0.075573358	-0.22916583	0.0065210126
14.2065	-11.311527	-163.64575	-12.705237	178.07032	-0.26090736	-0.076562888	-0.23146846	0.0077986517
14.4064	-11.280536	-163.97195	-12.61717	177.76562	-0.26227314	-0.075344589	-0.23378206	0.0091214768
14.6064	-11.145564	-164.20511	-12.529215	177.45582	-0.26668969	-0.075439888	-0.23610813	0.010491127
14.8063	-11.080155	-164.83273	-12.441474	177.14134	-0.26952206	-0.07306222	-0.23844353	0.011906533
15.0063	-10.928907	-164.95995	-12.353873	176.82202	-0.27442077	-0.073736455	-0.24078974	0.013369397
15.2062	-10.819757	-165.40881	-12.266512	176.4983	-0.27846742	-0.072489609	-0.24314359	0.014878527
15.4062	-10.75006	-165.63705	-12.179317	176.16999	-0.28099974	-0.071954818	-0.24550658	0.016435688
15.6061	-10.650411	-166.06235	-12.092387	175.83754	-0.28477452	-0.070673192	-0.2478755	0.018039564
15.8061	-10.553985	-166.55525	-12.005646	175.50074	-0.28855765	-0.068982338	-0.25025185	0.019691984
16.006	-10.423848	-166.7588	-11.919192	175.16006	-0.29316046	-0.068982603	-0.2526324	0.021391504
16.206	-10.369203	-167.25981	-11.83295	174.81526	-0.29560634	-0.066835683	-0.25501865	0.023140019
16.4059	-10.219834	-167.505	-11.747015	174.46682	-0.30102198	-0.066707407	-0.25740735	0.024935955
16.6059	-10.171249	-167.9265	-11.661311	174.1145	-0.30319578	-0.064852881	-0.2598	0.026781272
16.8058	-10.070394	-168.37984	-11.575932	173.75876	-0.30724633	-0.063181285	-0.26219333	0.028674267
17.0058	-9.9560747	-168.91701	-11.490803	173.39936	-0.31190339	-0.061096855	-0.26458885	0.030616963
17.2057	-9.8602133	-169.19641	-11.406016	173.03677	-0.31566225	-0.060236294	-0.26698326	0.032607527
17.4057	-9.7568359	-169.45024	-11.321495	172.67072	-0.31970855	-0.059541721	-0.26937806	0.034648044
17.6056	-9.7104979	-170.18379	-11.237331	172.3017	-0.32215873	-0.055740343	-0.27176996	0.036736552
17.8056	-9.5771351	-170.49986	-11.153449	171.92942	-0.32745058	-0.054797256	-0.27416046	0.038875199
18.0055	-9.4938412	-171.04384	-11.069937	171.55437	-0.33111615	-0.052183968	-0.27654625	0.041061889
18.2055	-9.4155922	-171.33635	-10.98672	171.17626	-0.33437704	-0.050949793	-0.27892883	0.043298835
18.4054	-9.3112822	-171.97363	-10.903888	170.79556	-0.33896943	-0.047798146	-0.28130489	0.045583808
18.6054	-9.2207527	-172.23581	-10.821362	170.412	-0.34273827	-0.046731089	-0.2836759	0.047919084
18.8053	-9.0996408	-172.71678	-10.739231	170.02604	-0.34793626	-0.044468096	-0.2860386	0.050302299
19.0053	-9.0587463	-173.2476	-10.65742	169.63738	-0.34997717	-0.041437393	-0.28839442	0.052735793
19.2052	-8.9277945	-173.68918	-10.576013	169.24651	-0.35560719	-0.039327374	-0.2907401	0.055217069
19.4052	-8.8335228	-174.40614	-10.494936	168.85312	-0.3599571	-0.035255158	-0.29307708	0.057748529
19.6051	-8.7645817	-174.54924	-10.414274	168.45767	-0.36291312	-0.034629806	-0.29540212	0.060327541
19.8051	-8.6327429	-175.42383	-10.33395	168.05987	-0.36895736	-0.029531162	-0.29771662	0.062956569
20.005	-8.5784092	-175.33064	-10.25405	167.66017	-0.37122374	-0.030320295	-0.30001737	0.06563285
20.205	-8.4824877	-176.41551	-10.174497	167.25828	-0.37585919	-0.023544909	-0.30230576	0.068358906
20.4049	-8.3976555	-176.68535	-10.095374	166.85465	-0.37965583	-0.021988216	-0.30457861	0.071131843
20.6049	-8.3036118	-177.33771	-10.016607	166.44896	-0.38401696	-0.01785648	-0.30683728	0.073954243
20.8048	-8.2199516	-177.72769	-9.9382767	166.0417	-0.38784731	-0.015389819	-0.30907862	0.076823079
21.0048	-8.1903067	-178.3662	-9.860309	165.63251	-0.38932122	-0.011104578	-0.31130398	0.079740995
21.2047	-8.0350761	-179.2057	-9.7827847	165.22189	-0.39646464	-0.005496601	-0.31351024	0.08270483
21.4047	-7.9831252	-179.65717	-9.7056292	164.80949	-0.39887422	-0.0023866973	-0.31569872	0.085717289
