Freq_GHz	Norm_dB
0.5	0
1	-0.13298507
1.67	-0.2422
2.17	-0.22059701
2.67	-0.22
3.25	-0.28253731
3.75	-0.33
4.08	-0.3466
4.75	-0.45
5.25	-0.37492537
5.75	-0.48
6.08	-0.4112
6.83	-0.4068
7.33	-0.4468
7.67	-0.42484848
8.17	-0.50492537
8.67	-0.5166
9.17	-0.6132
9.5	-0.49
10.17	-0.54
10.67	-0.47212121
11.17	-0.4996
11.5	-0.4798
12.17	-0.7196
12.67	-0.76
13.17	-0.69180723
13.67	-0.70454545
14.17	-0.63955224
14.67	-0.4596
15.17	-0.4932
15.67	-0.773
16.33	-1.0302
16.83	-0.7298
17.17	-0.94746269
17.83	-0.70757576
18.33	-0.58
18.83	-0.54787879
19.5	-0.655
20	-1.295
20.5	-0.8366
21	-1.2736
21.33	-0.8
22	-0.82
22.33	-0.5468
23	-0.73253731
23.5	-1.2502
24	-1.4136
24.5	-1.3602
25	-1.41
25.5	-1.107
26	-1.514
26.5	-1.107
27.25	-1.887
27.58	-2.04
28.08	-2.3448485
28.75	-1.8564
29.25	-1.6962
29.75	-1.686
30.25	-2.8536
31.08	-2.83
31.67	-3.2862667
32.17	-2.9212
32.67	-3.3108
33.17	-2.3372
33.83	-2.6
34.67	-4.3456
35	-4.4196
35.67	-5.3844
36.17	-3.8435821
36.67	-3.8440171
