Freq_GHz	Norm_dB
0.1	-0.00011534915
0.109982	-0.00013952677
0.11996399	-0.00016600306
0.12994599	-0.00019477802
0.13992799	-0.00022585165
0.14990998	-0.00025922395
0.15989198	-0.00029489491
0.16987397	-0.00033286453
0.17985597	-0.00037313281
0.18983797	-0.00041569974
0.19981996	-0.00046056532
0.20980196	-0.00050772955
0.21978396	-0.00055719242
0.22976595	-0.00060895392
0.23974795	-0.00066301406
0.24972995	-0.00071937283
0.25971194	-0.00077803023
0.26969394	-0.00083898624
0.27967594	-0.00090224087
0.28965793	-0.0009677941
0.29963993	-0.0010356459
0.30962192	-0.0011057964
0.31960392	-0.0011782454
0.32958592	-0.001252993
0.33956791	-0.0013300392
0.34954991	-0.001409384
0.35953191	-0.0014910273
0.3695139	-0.0015749692
0.3794959	-0.0016612096
0.3894779	-0.0017497486
0.39945989	-0.0018405861
0.40944189	-0.0019337221
0.41942388	-0.0020291567
0.42940588	-0.0021268898
0.43938788	-0.0022269214
0.44936987	-0.0023292514
0.45935187	-0.00243388
0.46933387	-0.002540807
0.47931586	-0.0026500325
0.48929786	-0.0027615565
0.49927986	-0.0028753789
0.50926185	-0.0029914998
0.51924385	-0.0031099191
0.52922585	-0.0032306368
0.53920784	-0.0033536529
0.54918984	-0.0034789674
0.55917183	-0.0036065803
0.56915383	-0.0037364916
0.57913583	-0.0038687012
0.58911782	-0.0040032092
0.59909982	-0.0041400156
0.60908182	-0.0042791202
0.61906381	-0.0044205232
0.62904581	-0.0045642245
0.63902781	-0.0047102241
0.6490098	-0.004858522
0.6589918	-0.0050091182
0.66897379	-0.0051620126
0.67895579	-0.0053172052
0.68893779	-0.0054746961
0.69891978	-0.0056344852
0.70890178	-0.0057965725
0.71888378	-0.005960958
0.72886577	-0.0061276416
0.73884777	-0.0062966234
0.74882977	-0.0064679034
0.75881176	-0.0066414815
0.76879376	-0.0068173577
0.77877576	-0.006995532
0.78875775	-0.0071760044
0.79873975	-0.0073587749
0.80872174	-0.0075438434
0.81870374	-0.0077312099
0.82868574	-0.0079208745
0.83866773	-0.0081128371
0.84864973	-0.0083070977
0.85863173	-0.0085036562
0.86861372	-0.0087025127
0.87859572	-0.0089036672
0.88857772	-0.0091071195
0.89855971	-0.0093128698
0.90854171	-0.0095209179
0.9185237	-0.0097312639
0.9285057	-0.0099439078
0.9384877	-0.010158849
0.94846969	-0.010376089
0.95845169	-0.010595626
0.96843369	-0.010817461
0.97841568	-0.011041594
0.98839768	-0.011268025
0.99837968	-0.011496753
1.0083617	-0.011727779
1.0183437	-0.011961102
1.0283257	-0.012196724
1.0383077	-0.012434643
1.0482897	-0.012674859
1.0582717	-0.012917373
1.0682537	-0.013162185
1.0782356	-0.013409294
1.0882176	-0.013658701
1.0981996	-0.013910405
1.1081816	-0.014164407
1.1181636	-0.014420706
1.1281456	-0.014679303
1.1381276	-0.014940197
1.1481096	-0.015203388
1.1580916	-0.015468877
1.1680736	-0.015736663
1.1780556	-0.016006747
1.1880376	-0.016279128
1.1980196	-0.016553806
1.2080016	-0.016830781
1.2179836	-0.017110054
1.2279656	-0.017391623
1.2379476	-0.01767549
1.2479296	-0.017961654
1.2579116	-0.018250115
1.2678936	-0.018540874
1.2778756	-0.018833929
1.2878576	-0.019129282
1.2978396	-0.019426931
1.3078216	-0.019726877
1.3178036	-0.020029121
1.3277856	-0.020333661
1.3377676	-0.020640498
1.3477495	-0.020949632
1.3577315	-0.021261063
1.3677135	-0.021574791
1.3776955	-0.021890816
1.3876775	-0.022209137
1.3976595	-0.022529756
1.4076415	-0.02285267
1.4176235	-0.023177882
1.4276055	-0.02350539
1.4375875	-0.023835195
1.4475695	-0.024167297
1.4575515	-0.024501695
1.4675335	-0.024838389
1.4775155	-0.02517738
1.4874975	-0.025518668
1.4974795	-0.025862252
1.5074615	-0.026208132
1.5174435	-0.026556309
1.5274255	-0.026906782
1.5374075	-0.027259552
1.5473895	-0.027614618
1.5573715	-0.02797198
1.5673535	-0.028331638
1.5773355	-0.028693592
1.5873175	-0.029057843
1.5972995	-0.02942439
1.6072815	-0.029793233
1.6172635	-0.030164372
1.6272454	-0.030537807
1.6372274	-0.030913538
1.6472094	-0.031291565
1.6571914	-0.031671887
1.6671734	-0.032054506
1.6771554	-0.032439421
1.6871374	-0.032826631
1.6971194	-0.033216138
1.7071014	-0.03360794
1.7170834	-0.034002037
1.7270654	-0.034398431
1.7370474	-0.03479712
1.7470294	-0.035198104
1.7570114	-0.035601384
1.7669934	-0.03600696
1.7769754	-0.036414831
1.7869574	-0.036824998
1.7969394	-0.03723746
1.8069214	-0.037652218
1.8169034	-0.038069271
1.8268854	-0.038488619
1.8368674	-0.038910262
1.8468494	-0.039334201
1.8568314	-0.039760435
1.8668134	-0.040188964
1.8767954	-0.040619788
1.8867774	-0.041052907
