Freq_GHz	Norm_dB
0.1	-8.4769871e-05
0.109982	-0.00010253802
0.11996399	-0.0001219955
0.12994599	-0.0001431423
0.13992799	-0.00016597843
0.14990998	-0.00019050391
0.15989198	-0.00021671874
0.16987397	-0.00024462292
0.17985597	-0.00027421646
0.18983797	-0.00030549937
0.19981996	-0.00033847166
0.20980196	-0.00037313335
0.21978396	-0.00040948443
0.22976595	-0.00044752492
0.23974795	-0.00048725483
0.24972995	-0.00052867417
0.25971194	-0.00057178295
0.26969394	-0.00061658119
0.27967594	-0.00066306889
0.28965793	-0.00071124607
0.29963993	-0.00076111275
0.30962192	-0.00081266893
0.31960392	-0.00086591464
0.32958592	-0.00092084988
0.33956791	-0.00097747467
0.34954991	-0.001035789
0.35953191	-0.001095793
0.3695139	-0.0011574865
0.3794959	-0.0012208697
0.3894779	-0.0012859425
0.39945989	-0.0013527049
0.40944189	-0.0014211571
0.41942388	-0.0014912989
0.42940588	-0.0015631304
0.43938788	-0.0016366517
0.44936987	-0.0017118627
0.45935187	-0.0017887634
0.46933387	-0.001867354
0.47931586	-0.0019476344
0.48929786	-0.0020296046
0.49927986	-0.0021132647
0.50926185	-0.0021986147
0.51924385	-0.0022856546
0.52922585	-0.0023743844
0.53920784	-0.0024648042
0.54918984	-0.002556914
0.55917183	-0.0026507137
0.56915383	-0.0027462035
0.57913583	-0.0028433834
0.58911782	-0.0029422533
0.59909982	-0.0030428134
0.60908182	-0.0031450636
0.61906381	-0.003249004
0.62904581	-0.0033546346
0.63902781	-0.0034619554
0.6490098	-0.0035709665
0.6589918	-0.0036816678
0.66897379	-0.0037940595
0.67895579	-0.0039081415
0.68893779	-0.004023914
0.69891978	-0.0041413768
0.70890178	-0.0042605301
0.71888378	-0.0043813739
0.72886577	-0.0045039082
0.73884777	-0.004628133
0.74882977	-0.0047540484
0.75881176	-0.0048816545
0.76879376	-0.0050109512
0.77877576	-0.0051419386
0.78875775	-0.0052746167
0.79873975	-0.0054089856
0.80872174	-0.0055450453
0.81870374	-0.0056827958
0.82868574	-0.0058222372
0.83866773	-0.0059633695
0.84864973	-0.0061061928
0.85863173	-0.0062507071
0.86861372	-0.0063969124
0.87859572	-0.0065448087
0.88857772	-0.0066943962
0.89855971	-0.0068456749
0.90854171	-0.0069986448
0.9185237	-0.0071533059
0.9285057	-0.0073096583
0.9384877	-0.007467702
0.94846969	-0.0076274371
0.95845169	-0.0077888636
0.96843369	-0.0079519816
0.97841568	-0.008116791
0.98839768	-0.0082832921
0.99837968	-0.0084514847
1.0083617	-0.008621369
1.0183437	-0.0087929449
1.0283257	-0.0089662126
1.0383077	-0.0091411721
1.0482897	-0.0093178235
1.0582717	-0.0094961667
1.0682537	-0.0096762018
1.0782356	-0.009857929
1.0882176	-0.010041348
1.0981996	-0.010226459
1.1081816	-0.010413263
1.1181636	-0.010601758
1.1281456	-0.010791946
1.1381276	-0.010983826
1.1481096	-0.011177399
1.1580916	-0.011372664
1.1680736	-0.011569621
1.1780556	-0.011768271
1.1880376	-0.011968613
1.1980196	-0.012170648
1.2080016	-0.012374376
1.2179836	-0.012579796
1.2279656	-0.012786909
1.2379476	-0.012995715
1.2479296	-0.013206214
1.2579116	-0.013418406
1.2678936	-0.013632291
1.2778756	-0.013847869
1.2878576	-0.01406514
1.2978396	-0.014284104
1.3078216	-0.014504762
1.3178036	-0.014727113
1.3277856	-0.014951157
1.3377676	-0.015176895
1.3477495	-0.015404326
1.3577315	-0.01563345
1.3677135	-0.015864269
1.3776955	-0.016096781
1.3876775	-0.016330987
1.3976595	-0.016566886
1.4076415	-0.01680448
1.4176235	-0.017043767
1.4276055	-0.017284749
1.4375875	-0.017527424
1.4475695	-0.017771794
1.4575515	-0.018017858
1.4675335	-0.018265616
1.4775155	-0.018515068
1.4874975	-0.018766215
1.4974795	-0.019019056
1.5074615	-0.019273592
1.5174435	-0.019529823
1.5274255	-0.019787748
1.5374075	-0.020047368
1.5473895	-0.020308683
1.5573715	-0.020571693
1.5673535	-0.020836397
1.5773355	-0.021102797
1.5873175	-0.021370892
1.5972995	-0.021640682
1.6072815	-0.021912167
1.6172635	-0.022185348
1.6272454	-0.022460224
1.6372274	-0.022736796
1.6472094	-0.023015063
1.6571914	-0.023295025
1.6671734	-0.023576684
1.6771554	-0.023860038
1.6871374	-0.024145088
1.6971194	-0.024431834
1.7071014	-0.024720276
1.7170834	-0.025010415
1.7270654	-0.025302249
1.7370474	-0.025595779
1.7470294	-0.025891006
1.7570114	-0.02618793
1.7669934	-0.02648655
1.7769754	-0.026786866
1.7869574	-0.027088879
1.7969394	-0.027392589
1.8069214	-0.027697996
1.8169034	-0.028005099
1.8268854	-0.0283139
1.8368674	-0.028624397
1.8468494	-0.028936592
1.8568314	-0.029250484
1.8668134	-0.029566074
1.8767954	-0.02988336
1.8867774	-0.030202345
1.8967594	-0.030523026
1.9067413	-0.030845406
1.9167233	-0.031169483
1.9267053	-0.031495258
1.9366873	-0.031822731
1.9466693	-0.032151902
