Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
10000000	-0.018988416	0.10482372	-5.2490592e-07	-0.063910802
2.0995e+08	0.0050115995	-1.3700469	-0.00023136819	-1.3418223
4.099e+08	0.0050031962	-2.7276926	-0.00088186221	-2.6198159
6.0985e+08	-0.0023203497	-4.1082416	-0.0019518503	-3.8979696
8.098e+08	-0.0021234755	-5.475275	-0.0034410739	-5.1763612
1.00975e+09	-0.0020370565	-6.7642856	-0.0053491723	-6.4550684
1.2097e+09	-0.011534126	-8.1065969	-0.0076756808	-7.7341684
1.40965e+09	-0.0097271279	-9.4154682	-0.01042003	-9.013738
1.6096e+09	-0.013672099	-10.79312	-0.013581542	-10.293853
1.80955e+09	-0.015774311	-12.117577	-0.017159432	-11.57459
2.0095e+09	-0.022404071	-13.441583	-0.021152801	-12.856024
2.20945e+09	-0.031441059	-14.809508	-0.025560639	-14.138227
2.4094e+09	-0.042231839	-16.10083	-0.030381816	-15.421275
2.60935e+09	-0.037797716	-17.398556	-0.035615081	-16.705238
2.8093e+09	-0.049320225	-18.716969	-0.04125906	-17.990189
3.00925e+09	-0.048157617	-20.035763	-0.047312251	-19.276196
3.2092e+09	-0.050770827	-21.337568	-0.053773018	-20.56333
3.40915e+09	-0.049861033	-22.66633	-0.06063959	-21.851657
3.6091e+09	-0.05792895	-24.033876	-0.067910052	-23.141243
3.80905e+09	-0.072204821	-25.337599	-0.075582346	-24.432152
4.009e+09	-0.072207719	-26.666882	-0.083654259	-25.724449
4.20895e+09	-0.072780445	-27.979881	-0.092123423	-27.018193
4.4089e+09	-0.082473628	-29.326231	-0.10098731	-28.313444
4.60885e+09	-0.091209866	-30.656286	-0.11024322	-29.61026
4.8088e+09	-0.094130784	-31.930164	-0.11988828	-30.908696
5.00875e+09	-0.10054819	-33.278378	-0.12991943	-32.208805
5.2087e+09	-0.098862059	-34.588608	-0.14033346	-33.51064
5.40865e+09	-0.1088887	-35.942471	-0.15112691	-34.814248
5.6086e+09	-0.12110238	-37.240135	-0.16229618	-36.119677
5.80855e+09	-0.12124896	-38.591549	-0.17383743	-37.426972
6.0085e+09	-0.13126999	-39.892437	-0.18574661	-38.736174
6.20845e+09	-0.14260064	-41.178196	-0.19801949	-40.047321
6.4084e+09	-0.15585424	-42.578068	-0.21065156	-41.360452
6.60835e+09	-0.15727156	-43.830723	-0.22363814	-42.6756
6.8083e+09	-0.17384268	-45.188251	-0.23697428	-43.992795
7.00825e+09	-0.18209077	-46.48732	-0.2506548	-45.312067
7.2082e+09	-0.18706079	-47.795113	-0.26467428	-46.63344
7.40815e+09	-0.19921213	-49.139942	-0.27902705	-47.956935
7.6081e+09	-0.20836541	-50.472794	-0.29370716	-49.282573
7.80805e+09	-0.22688667	-51.763798	-0.30870843	-50.610368
8.008e+09	-0.2326529	-53.067139	-0.32402441	-51.940333
8.20795e+09	-0.24548885	-54.39827	-0.33964837	-53.272476
8.4079e+09	-0.25072378	-55.67783	-0.3555733	-54.606803
8.60785e+09	-0.25980023	-57.059502	-0.37179194	-55.943317
8.8078e+09	-0.27634311	-58.351646	-0.38829673	-57.282014
9.00775e+09	-0.28276131	-59.656853	-0.40507983	-58.622891
9.2077e+09	-0.29907313	-60.922878	-0.42213313	-59.965936
9.40765e+09	-0.29956681	-62.287781	-0.43944821	-61.311139
9.6076e+09	-0.31691012	-63.579369	-0.4570164	-62.658481
9.80755e+09	-0.34396127	-64.877922	-0.47482871	-64.007942
1.00075e+10	-0.33953422	-66.211899	-0.49287589	-65.359497
1.02075e+10	-0.37051842	-67.431625	-0.51115298	-66.713456
1.04074e+10	-0.3770164	-68.823845	-0.52963637	-68.06877
1.06074e+10	-0.399185	-70.108589	-0.54833445	-69.426758
1.08073e+10	-0.39944538	-71.404633	-0.56721813	-70.786022
1.10073e+10	-0.41311365	-72.696617	-0.58629566	-72.147875
1.12072e+10	-0.43089047	-73.961479	-0.60553704	-73.510906
1.14072e+10	-0.44868219	-75.274948	-0.62495035	-74.876426
1.16071e+10	-0.46461147	-76.679916	-0.64450473	-76.24301
