Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
10000000	-4.3106275	0.54996759	-4.4369753	-0.071438402
2.0995e+08	-4.2498937	-1.5649314	-4.4371061	-1.4998647
4.099e+08	-4.2617178	-3.2265463	-4.4374744	-2.928375
6.0985e+08	-4.256319	-4.8497338	-4.4380795	-4.3570494
8.098e+08	-4.2550278	-6.502212	-4.4389201	-5.7859675
1.00975e+09	-4.2644458	-8.0130043	-4.4399945	-7.2152083
1.2097e+09	-4.2609439	-9.625988	-4.4413006	-8.6448504
1.40965e+09	-4.2544031	-11.154474	-4.4428356	-10.074971
1.6096e+09	-4.2592101	-12.847212	-4.4445964	-11.505648
1.80955e+09	-4.2575645	-14.460075	-4.4465794	-12.936956
2.0095e+09	-4.2604728	-16.043968	-4.4487803	-14.36897
2.20945e+09	-4.2660232	-17.665081	-4.4511947	-15.801763
2.4094e+09	-4.2802577	-19.118826	-4.4538175	-17.235406
2.60935e+09	-4.2582979	-20.658148	-4.4566431	-18.669968
2.8093e+09	-4.2756848	-22.222492	-4.4596655	-20.105518
3.00925e+09	-4.2577004	-23.746962	-4.4628782	-21.542121
3.2092e+09	-4.2721748	-25.329008	-4.4662743	-22.979841
3.40915e+09	-4.2518444	-26.810804	-4.4698465	-24.418738
3.6091e+09	-4.2436261	-28.523233	-4.4735867	-25.858871
3.80905e+09	-4.2619562	-30.069036	-4.4774868	-27.300297
4.009e+09	-4.2444201	-31.665543	-4.481538	-28.743068
4.20895e+09	-4.2503409	-33.1745	-4.4857311	-30.187233
4.4089e+09	-4.2373366	-34.750389	-4.4900565	-31.632841
4.60885e+09	-4.2523713	-36.31728	-4.4945042	-33.079933
4.8088e+09	-4.2260327	-37.790764	-4.4990636	-34.528551
5.00875e+09	-4.2239623	-39.317875	-4.5037239	-35.978731
5.2087e+09	-4.2155776	-40.808636	-4.5084738	-37.430505
5.40865e+09	-4.2107196	-42.44215	-4.5133017	-38.883902
5.6086e+09	-4.2043543	-43.969551	-4.5181955	-40.338946
5.80855e+09	-4.1853485	-45.449642	-4.5231428	-41.795657
6.0085e+09	-4.2070608	-47.014927	-4.5281309	-43.254052
6.20845e+09	-4.1888332	-48.479496	-4.5331465	-44.714142
6.4084e+09	-4.1925292	-50.131996	-4.5381764	-46.175934
6.60835e+09	-4.1687603	-51.448284	-4.5432068	-47.639429
6.8083e+09	-4.1824851	-53.133217	-4.5482235	-49.104625
7.00825e+09	-4.1720414	-54.521561	-4.5532124	-50.571512
7.2082e+09	-4.1546741	-56.037518	-4.5581588	-52.040079
7.40815e+09	-4.1599278	-57.622734	-4.5630478	-53.510307
7.6081e+09	-4.1519041	-59.078152	-4.5678646	-54.982171
7.80805e+09	-4.1577811	-60.608784	-4.5725938	-56.455642
8.008e+09	-4.1474099	-61.980373	-4.57722	-57.930686
8.20795e+09	-4.1377044	-63.56414	-4.5817277	-59.407261
8.4079e+09	-4.1358261	-64.925194	-4.5861013	-60.885322
