Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
10000000	0.9978146	0.0018255228	0.99999932	-0.0011154536	-0.018988416	-5.2490592e-07
2.0995e+08	1.0002911	-0.02392335	0.99969915	-0.023416453	0.0050115995	-0.00023136819
4.099e+08	0.99944252	-0.047616656	0.9988534	-0.045703842	0.0050031962	-0.00088186221
6.0985e+08	0.99716407	-0.071621783	0.99746252	-0.067964661	-0.0023203497	-0.0019518503
8.098e+08	0.99519414	-0.095392874	0.99552723	-0.09018596	-0.0021234755	-0.0034410739
1.00975e+09	0.99280626	-0.11775738	0.99304857	-0.1123548	-0.0020370565	-0.0053491723
1.2097e+09	0.98869365	-0.14082809	0.99002785	-0.13445826	-0.011534126	-0.0076756808
1.40965e+09	0.98542386	-0.1634092	0.98646668	-0.15648344	-0.0097271279	-0.01042003
1.6096e+09	0.98076475	-0.18696883	0.98236695	-0.17841747	-0.013672099	-0.013581542
1.80955e+09	0.97594488	-0.20953763	0.97773086	-0.20024749	-0.015774311	-0.017159432
2.0095e+09	0.97010195	-0.23185503	0.97256089	-0.22196069	-0.022404071	-0.021152801
2.20945e+09	0.96328777	-0.25468263	0.96685982	-0.2435443	-0.031441059	-0.025560639
2.4094e+09	0.95611507	-0.27598344	0.96063072	-0.26498558	-0.042231839	-0.030381816
2.60935e+09	0.95010436	-0.29771836	0.95387697	-0.28627187	-0.037797716	-0.035615081
2.8093e+09	0.94175261	-0.31907657	0.94660224	-0.30739052	-0.049320225	-0.04125906
3.00925e+09	0.93428457	-0.34071234	0.93881051	-0.32832897	-0.048157617	-0.047312251
3.2092e+09	0.92602419	-0.3617414	0.93050604	-0.34907471	-0.050770827	-0.053773018
3.40915e+09	0.91748279	-0.38315801	0.92169342	-0.36961533	-0.049861033	-0.06063959
3.6091e+09	0.90723396	-0.40456948	0.91237752	-0.38993846	-0.05792895	-0.067910052
3.80905e+09	0.89631985	-0.42440829	0.90256355	-0.41003185	-0.072204821	-0.075582346
4.009e+09	0.8862328	-0.44508701	0.892257	-0.42988331	-0.072207719	-0.083654259
4.20895e+09	0.87574357	-0.46524674	0.88146368	-0.44948078	-0.072780445	-0.092123423
4.4089e+09	0.86360603	-0.48515312	0.8701897	-0.46881229	-0.082473628	-0.10098731
4.60885e+09	0.85125547	-0.50456047	0.8584415	-0.48786599	-0.091209866	-0.11024322
4.8088e+09	0.83954556	-0.52318452	0.84622582	-0.50663015	-0.094130784	-0.11988828
5.00875e+09	0.82639255	-0.54239213	0.83354971	-0.52509318	-0.10054819	-0.12991943
5.2087e+09	0.81393223	-0.56125542	0.82042054	-0.54324363	-0.098862059	-0.14033346
5.40865e+09	0.79952066	-0.57966013	0.806846	-0.5610702	-0.1088887	-0.15112691
5.6086e+09	0.78508358	-0.59677812	0.79283408	-0.57856174	-0.12110238	-0.16229618
