Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
10000000	0.093781453	-0.0027793729	0.090908947	-0.0002050125	-20.553848	-20.827845
2.0995e+08	0.092994125	-0.0051230951	0.09084564	-0.0043037965	-20.617729	-20.824182
4.099e+08	0.092285795	-0.01085881	0.090667256	-0.0084001753	-20.637587	-20.813871
6.0985e+08	0.0919987	-0.015973585	0.09037386	-0.012491859	-20.595375	-20.79695
8.098e+08	0.091744609	-0.021554824	0.08996556	-0.01657656	-20.515047	-20.77348
1.00975e+09	0.091269368	-0.02608417	0.089442507	-0.02065199	-20.45252	-20.743545
1.2097e+09	0.090523094	-0.031613391	0.088804893	-0.024715866	-20.365032	-20.70725
1.40965e+09	0.089711961	-0.03641909	0.088052955	-0.028765907	-20.280479	-20.664722
1.6096e+09	0.089003856	-0.041889246	0.087186969	-0.032799835	-20.142864	-20.616105
1.80955e+09	0.087736569	-0.047395182	0.086207255	-0.036815379	-20.024385	-20.561563
2.0095e+09	0.086684772	-0.052471376	0.085114177	-0.040810271	-19.885355	-20.501271
2.20945e+09	0.085365367	-0.057528568	0.083908139	-0.044782249	-19.74826	-20.435422
2.4094e+09	0.083528631	-0.062373605	0.082589587	-0.048729058	-19.638704	-20.364218
2.60935e+09	0.082739069	-0.067758305	0.081159013	-0.05264845	-19.416901	-20.28787
2.8093e+09	0.080680639	-0.072469779	0.079616947	-0.056538185	-19.295471	-20.2066
3.00925e+09	0.079413208	-0.077356016	0.077963964	-0.06039603	-19.104336	-20.12063
3.2092e+09	0.07706125	-0.082189411	0.076200681	-0.064219764	-18.964174	-20.030192
3.40915e+09	0.075697744	-0.087446855	0.074327756	-0.068007174	-18.73638	-19.935515
3.6091e+09	0.073582386	-0.092593699	0.072345891	-0.071756057	-18.542456	-19.83683
3.80905e+09	0.07117233	-0.097239749	0.070255829	-0.075464222	-18.380014	-19.734369
4.009e+09	0.069014396	-0.10253169	0.068058356	-0.079129492	-18.159979	-19.628359
4.20895e+09	0.066345726	-0.1071764	0.0657543	-0.082749698	-17.989161	-19.519025
4.4089e+09	0.064183349	-0.11213101	0.063344531	-0.08632269	-17.774691	-19.406587
4.60885e+09	0.061359112	-0.11669553	0.060829962	-0.089846328	-17.598806	-19.291259
4.8088e+09	0.059214655	-0.12178891	0.058211545	-0.09331849	-17.366264	-19.17325
5.00875e+09	0.0561314	-0.12627234	0.055490278	-0.096737067	-17.190704	-19.052763
5.2087e+09	0.053577988	-0.13090027	0.052667198	-0.10009997	-16.98851	-18.929992
5.40865e+09	0.050423976	-0.13578173	0.049743384	-0.10340512	-16.782099	-18.805124
5.6086e+09	0.047589829	-0.14013099	0.046719958	-0.10665047	-16.595264	-18.678339
