Freq_GHz	Norm_dB
0.33	0
0.83	-0.075970149
1.5	-0.1
2	-0.35
2.5	-0.87940299
2.92	-0.69
3.58	-0.37746269
4.08	-0.6066
4.42	-0.3568
4.92	-0.79
5.42	-0.52985075
6.08	-1.3312
6.42	-1.1521333
7	-0.94
7.5	-1.1
8	-0.78746269
8.33	-0.92253731
8.83	-1.0834
9.33	-1.7468
9.83	-1.2852239
10.33	-1.9578788
10.83	-1.37
11.17	-1.0096
11.67	-1.0996
12	-1.6398
12.67	-1.78
13.33	-1.7763855
13.67	-2.7645455
14.17	-2.1295522
14.67	-1.8996
15.33	-1.7668
15.67	-2.343
16.5	-3.44
17	-2.5
17.5	-3.1325373
18	-2.795
18.5	-2.61
19	-2.355
19.67	-2.29
20.17	-3.6572727
20.67	-4.3932
21.17	-3.5372
21.67	-3.85
22.17	-3.4432
22.67	-3.4974627
23.17	-3.26
23.67	-4.45
24.33	-4.8904
24.67	-4.98
25.17	-5.17
25.67	-4.494
26	-5.404
26.5	-4.537
27.08	-5.92
27.75	-6.16
28.25	-6.81
28.58	-6.45
29.08	-6.21
29.58	-6.02
30.08	-5.62
