Freq_GHz	Norm_dB
0.33	0
0.83	-0.075970149
1.33	-0.34151515
1.83	-0.4378
2.5	-0.80940299
2.92	-0.65
3.42	-0.60507463
3.92	-0.6934
4.42	-0.5668
4.92	-0.97
5.58	-0.79507463
6.08	-1.1512
6.67	-1.1732
7.17	-1.2232
7.67	-0.99484848
8.17	-1.0249254
8.67	-1.2566
9.17	-1.5432
9.83	-1.4452239
10.33	-1.6678788
11	-1.5298
11.33	-1.55
11.83	-1.19
12.5	-1.67
13	-2.0781928
13.67	-2.6445455
14.17	-2.0495522
14.67	-2.1296
15.17	-2.0232
15.67	-2.413
16.17	-2.0298
16.67	-2.9202
17.33	-3.1550746
17.83	-2.9975758
18.33	-2.56
18.83	-2.4578788
19.33	-2.64
19.83	-3.5227273
20.33	-3.04
21	-3.8536
21.5	-3.58
17.17	-3.0674627
17.67	-3.01
18.17	-2.5724242
18.67	-2.59
19	-2.595
19.67	-2.94
20.33	-3.45
20.67	-4.2832
21.17	-3.3372
21.67	-3.61
22.17	-3.1532
22.67	-3.5974627
23.33	-3.8604
24	-4.3936
24.33	-4.6004
24.83	-4.78
25.33	-4.67
25.83	-4.39
26.33	-4.4
