Freq_GHz	Norm_dB
0.1	-9.2371747e-05
0.109982	-0.00011173331
0.11996399	-0.00013293569
0.12994599	-0.00015597891
0.13992799	-0.00018086297
0.14990998	-0.00020758788
0.15989198	-0.00023615365
0.16987397	-0.0002665603
0.17985597	-0.00029880784
0.18983797	-0.00033289627
0.19981996	-0.00036882561
0.20980196	-0.00040659587
0.21978396	-0.00044620707
0.22976595	-0.00048765923
0.23974795	-0.00053095235
0.24972995	-0.00057608647
0.25971194	-0.00062306158
0.26969394	-0.00067187771
0.27967594	-0.00072253489
0.28965793	-0.00077503312
0.29963993	-0.00082937244
0.30962192	-0.00088555285
0.31960392	-0.00094357438
0.32958592	-0.0010034371
0.33956791	-0.0010651409
0.34954991	-0.0011286859
0.35953191	-0.0011940722
0.3695139	-0.0012612997
0.3794959	-0.0013303684
0.3894779	-0.0014012785
0.39945989	-0.0014740298
0.40944189	-0.0015486225
0.41942388	-0.0016250566
0.42940588	-0.0017033321
0.43938788	-0.001783449
0.44936987	-0.0018654074
0.45935187	-0.0019492073
0.46933387	-0.0020348487
0.47931586	-0.0021223316
0.48929786	-0.0022116562
0.49927986	-0.0023028224
0.50926185	-0.0023958302
0.51924385	-0.0024906797
0.52922585	-0.002587371
0.53920784	-0.0026859041
0.54918984	-0.0027862789
0.55917183	-0.0028884956
0.56915383	-0.0029925542
0.57913583	-0.0030984547
0.58911782	-0.0032061972
0.59909982	-0.0033157816
0.60908182	-0.0034272082
0.61906381	-0.0035404768
0.62904581	-0.0036555875
0.63902781	-0.0037725404
0.6490098	-0.0038913356
0.6589918	-0.004011973
0.66897379	-0.0041344527
0.67895579	-0.0042587748
0.68893779	-0.0043849393
0.69891978	-0.0045129462
0.70890178	-0.0046427957
0.71888378	-0.0047744877
0.72886577	-0.0049080223
0.73884777	-0.0050433995
0.74882977	-0.0051806195
0.75881176	-0.0053196822
0.76879376	-0.0054605877
0.77877576	-0.0056033361
0.78875775	-0.0057479274
0.79873975	-0.0058943617
0.80872174	-0.0060426389
0.81870374	-0.0061927593
0.82868574	-0.0063447228
0.83866773	-0.0064985296
0.84864973	-0.0066541795
0.85863173	-0.0068116728
0.86861372	-0.0069710095
0.87859572	-0.0071321896
0.88857772	-0.0072952132
0.89855971	-0.0074600803
0.90854171	-0.0076267911
0.9185237	-0.0077953456
0.9285057	-0.0079657438
0.9384877	-0.0081379858
0.94846969	-0.0083120717
0.95845169	-0.0084880015
0.96843369	-0.0086657754
0.97841568	-0.0088453933
0.98839768	-0.0090268553
0.99837968	-0.0092101616
1.0083617	-0.0093953122
1.0183437	-0.0095823071
1.0283257	-0.0097711464
1.0383077	-0.0099618303
1.0482897	-0.010154359
1.0582717	-0.010348732
1.0682537	-0.010544949
1.0782356	-0.010743012
1.0882176	-0.010942919
1.0981996	-0.011144672
1.1081816	-0.011348269
1.1181636	-0.011553711
1.1281456	-0.011760999
1.1381276	-0.011970132
1.1481096	-0.01218111
1.1580916	-0.012393934
1.1680736	-0.012608603
1.1780556	-0.012825117
1.1880376	-0.013043477
1.1980196	-0.013263683
1.2080016	-0.013485735
1.2179836	-0.013709633
1.2279656	-0.013935377
1.2379476	-0.014162966
1.2479296	-0.014392402
1.2579116	-0.014623684
1.2678936	-0.014856813
1.2778756	-0.015091787
1.2878576	-0.015328609
1.2978396	-0.015567277
1.3078216	-0.015807791
1.3178036	-0.016050153
1.3277856	-0.016294361
1.3377676	-0.016540416
1.3477495	-0.016788318
