Freq_GHz	Norm_dB
0.1	-6.8896737e-05
0.109982	-8.3337853e-05
0.11996399	-9.9151991e-05
0.12994599	-0.00011633916
0.13992799	-0.00013489937
0.14990998	-0.00015483263
0.15989198	-0.00017613896
0.16987397	-0.00019881836
0.17985597	-0.00022287086
0.18983797	-0.00024829646
0.19981996	-0.00027509518
0.20980196	-0.00030326704
0.21978396	-0.00033281205
0.22976595	-0.00036373024
0.23974795	-0.00039602161
0.24972995	-0.0004296862
0.25971194	-0.00046472402
0.26969394	-0.00050113508
0.27967594	-0.00053891943
0.28965793	-0.00057807707
0.29963993	-0.00061860803
0.30962192	-0.00066051233
0.31960392	-0.00070379001
0.32958592	-0.00074844108
0.33956791	-0.00079446557
0.34954991	-0.00084186352
0.35953191	-0.00089063494
0.3695139	-0.00094077988
0.3794959	-0.00099229835
0.3894779	-0.0010451904
0.39945989	-0.001099456
0.40944189	-0.0011550953
0.41942388	-0.0012121083
0.42940588	-0.0012704949
0.43938788	-0.0013302553
0.44936987	-0.0013913895
0.45935187	-0.0014538975
0.46933387	-0.0015177793
0.47931586	-0.0015830351
0.48929786	-0.0016496647
0.49927986	-0.0017176683
0.50926185	-0.0017870459
0.51924385	-0.0018577976
0.52922585	-0.0019299234
0.53920784	-0.0020034233
0.54918984	-0.0020782974
0.55917183	-0.0021545457
0.56915383	-0.0022321683
0.57913583	-0.0023111652
0.58911782	-0.0023915365
0.59909982	-0.0024732822
0.60908182	-0.0025564023
0.61906381	-0.002640897
0.62904581	-0.0027267663
0.63902781	-0.0028140101
0.6490098	-0.0029026287
0.6589918	-0.0029926219
0.66897379	-0.0030839899
0.67895579	-0.0031767328
0.68893779	-0.0032708506
0.69891978	-0.0033663433
0.70890178	-0.003463211
0.71888378	-0.0035614538
0.72886577	-0.0036610717
0.73884777	-0.0037620647
0.74882977	-0.0038644331
0.75881176	-0.0039681767
0.76879376	-0.0040732957
0.77877576	-0.0041797901
0.78875775	-0.00428766
0.79873975	-0.0043969055
0.80872174	-0.0045075266
0.81870374	-0.0046195234
0.82868574	-0.004732896
0.83866773	-0.0048476443
0.84864973	-0.0049637686
0.85863173	-0.0050812689
0.86861372	-0.0052001452
0.87859572	-0.0053203976
0.88857772	-0.0054420261
0.89855971	-0.005565031
0.90854171	-0.0056894121
0.9185237	-0.0058151697
0.9285057	-0.0059423037
0.9384877	-0.0060708143
0.94846969	-0.0062007016
0.95845169	-0.0063319655
0.96843369	-0.0064646063
0.97841568	-0.0065986239
0.98839768	-0.0067340184
0.99837968	-0.00687079
1.0083617	-0.0070089387
1.0183437	-0.0071484647
1.0283257	-0.0072893678
1.0383077	-0.0074316484
1.0482897	-0.0075753064
1.0582717	-0.007720342
1.0682537	-0.0078667551
1.0782356	-0.008014546
1.0882176	-0.0081637147
1.0981996	-0.0083142613
1.1081816	-0.0084661858
1.1181636	-0.0086194885
1.1281456	-0.0087741693
1.1381276	-0.0089302283
1.1481096	-0.0090876657
1.1580916	-0.0092464816
1.1680736	-0.009406676
1.1780556	-0.009568249
1.1880376	-0.0097312008
1.1980196	-0.0098955314
1.2080016	-0.010061241
1.2179836	-0.01022833
1.2279656	-0.010396797
1.2379476	-0.010566644
1.2479296	-0.01073787
1.2579116	-0.010910476
1.2678936	-0.011084461
1.2778756	-0.011259826
1.2878576	-0.011436571
1.2978396	-0.011614695
1.3078216	-0.0117942
1.3178036	-0.011975084
1.3277856	-0.012157349
1.3377676	-0.012340994
1.3477495	-0.012526019
1.3577315	-0.012712425
1.3677135	-0.012900212
1.3776955	-0.013089379
1.3876775	-0.013279927
1.3976595	-0.013471856
1.4076415	-0.013665166
1.4176235	-0.013859857
1.4276055	-0.01405593
1.4375875	-0.014253384
1.4475695	-0.01445222
1.4575515	-0.014652437
1.4675335	-0.014854036
1.4775155	-0.015057017
1.4874975	-0.01526138
1.4974795	-0.015467125
1.5074615	-0.015674252
1.5174435	-0.015882762
1.5274255	-0.016092654
1.5374075	-0.016303929
1.5473895	-0.016516586
1.5573715	-0.016730627
1.5673535	-0.01694605
1.5773355	-0.017162857
1.5873175	-0.017381047
1.5972995	-0.01760062
1.6072815	-0.017821577
1.6172635	-0.018043918
1.6272454	-0.018267642
1.6372274	-0.018492751
1.6472094	-0.018719243
1.6571914	-0.018947119
1.6671734	-0.01917638
1.6771554	-0.019407026
1.6871374	-0.019639056
1.6971194	-0.01987247
1.7071014	-0.02010727
1.7170834	-0.020343455
1.7270654	-0.020581024
1.7370474	-0.02081998
1.7470294	-0.02106032
1.7570114	-0.021302046
1.7669934	-0.021545158
1.7769754	-0.021789656
1.7869574	-0.02203554
1.7969394	-0.02228281
1.8069214	-0.022531466
1.8169034	-0.022781509
1.8268854	-0.023032938
1.8368674	-0.023285754
1.8468494	-0.023539957
1.8568314	-0.023795547
1.8668134	-0.024052525
1.8767954	-0.024310889
1.8867774	-0.024570642
1.8967594	-0.024831781
1.9067413	-0.025094309
1.9167233	-0.025358225
1.9267053	-0.025623529
1.9366873	-0.025890221
1.9466693	-0.026158301
1.9566513	-0.026427771
1.9666333	-0.026698629
1.9766153	-0.026970876
1.9865973	-0.027244512
1.9965793	-0.027519537
2.0065613	-0.027795951
2.0165433	-0.028073756
2.0265253	-0.02835295
2.0365073	-0.028633534
2.0464893	-0.028915508
2.0564713	-0.029198872
2.0664533	-0.029483626
2.0764353	-0.029769772
2.0864173	-0.030057307
2.0963993	-0.030346234
2.1063813	-0.030636552
2.1163633	-0.030928261
2.1263453	-0.031221362
2.1363273	-0.031515854
2.1463093	-0.031811738
2.1562913	-0.032109014
2.1662733	-0.032407682
2.1762553	-0.032707742
2.1862372	-0.033009195
2.1962192	-0.033312041
2.2062012	-0.033616279
2.2161832	-0.03392191
2.2261652	-0.034228935
2.2361472	-0.034537353
2.2461292	-0.034847164
2.2561112	-0.035158369
2.2660932	-0.035470968
2.2760752	-0.035784961
2.2860572	-0.036100349
2.2960392	-0.03641713
2.3060212	-0.036735307
2.3160032	-0.037054878
2.3259852	-0.037375845
2.3359672	-0.037698206
2.3459492	-0.038021963
2.3559312	-0.038347116
2.3659132	-0.038673664
2.3758952	-0.039001608
2.3858772	-0.039330949
2.3958592	-0.039661685
2.4058412	-0.039993819
2.4158232	-0.040327349
2.4258052	-0.040662276
2.4357872	-0.0409986
2.4457692	-0.041336321
2.4557512	-0.04167544
2.4657331	-0.042015957
2.4757151	-0.042357872
2.4856971	-0.042701184
2.4956791	-0.043045895
2.5056611	-0.043392005
2.5156431	-0.043739513
2.5256251	-0.04408842
2.5356071	-0.044438727
2.5455891	-0.044790432
2.5555711	-0.045143538
2.5655531	-0.045498042
2.5755351	-0.045853947
2.5855171	-0.046211252
2.5954991	-0.046569958
2.6054811	-0.046930064
2.6154631	-0.04729157
2.6254451	-0.047654478
2.6354271	-0.048018787
2.6454091	-0.048384497
2.6553911	-0.048751609
2.6653731	-0.049120123
2.6753551	-0.049490038
2.6853371	-0.049861356
2.6953191	-0.050234077
2.7053011	-0.0506082
2.7152831	-0.050983726
2.7252651	-0.051360655
2.735247	-0.051738988
2.745229	-0.052118724
2.755211	-0.052499864
2.765193	-0.052882407
2.775175	-0.053266355
2.785157	-0.053651708
2.795139	-0.054038465
2.805121	-0.054426627
2.815103	-0.054816194
2.825085	-0.055207167
2.835067	-0.055599545
2.845049	-0.055993329
2.855031	-0.056388518
2.865013	-0.056785114
2.874995	-0.057183117
2.884977	-0.057582526
2.894959	-0.057983342
2.904941	-0.058385565
2.914923	-0.058789196
2.924905	-0.059194234
2.934887	-0.05960068
2.944869	-0.060008535
2.954851	-0.060417797
2.964833	-0.060828468
2.974815	-0.061240548
2.984797	-0.061654037
2.994779	-0.062068935
3.004761	-0.062485242
3.0147429	-0.06290296
3.0247249	-0.063322087
3.0347069	-0.063742624
3.0446889	-0.064164572
3.0546709	-0.064587931
3.0646529	-0.0650127
3.0746349	-0.065438881
3.0846169	-0.065866473
3.0945989	-0.066295477
3.1045809	-0.066725893
3.1145629	-0.067157721
3.1245449	-0.067590961
3.1345269	-0.068025614
3.1445089	-0.06846168
3.1544909	-0.068899158
3.1644729	-0.069338051
3.1744549	-0.069778357
3.1844369	-0.070220076
3.1944189	-0.07066321
3.2044009	-0.071107759
3.2143829	-0.071553722
3.2243649	-0.072001099
3.2343469	-0.072449892
3.2443289	-0.072900101
3.2543109	-0.073351725
3.2642929	-0.073804765
3.2742749	-0.074259221
3.2842569	-0.074715094
3.2942388	-0.075172383
3.3042208	-0.075631089
3.3142028	-0.076091212
3.3241848	-0.076552753
3.3341668	-0.077015712
3.3441488	-0.077480088
3.3541308	-0.077945883
3.3641128	-0.078413096
3.3740948	-0.078881728
3.3840768	-0.079351779
3.3940588	-0.07982325
3.4040408	-0.08029614
3.4140228	-0.08077045
3.4240048	-0.081246179
3.4339868	-0.08172333
3.4439688	-0.0822019
3.4539508	-0.082681892
3.4639328	-0.083163305
3.4739148	-0.083646139
3.4838968	-0.084130396
3.4938788	-0.084616074
3.5038608	-0.085103174
3.5138428	-0.085591697
3.5238248	-0.086081642
3.5338068	-0.086573011
3.5437888	-0.087065803
3.5537708	-0.087560019
3.5637528	-0.088055658
3.5737347	-0.088552722
3.5837167	-0.08905121
3.5936987	-0.089551123
3.6036807	-0.090052461
3.6136627	-0.090555224
3.6236447	-0.091059413
3.6336267	-0.091565028
3.6436087	-0.092072069
3.6535907	-0.092580536
3.6635727	-0.09309043
3.6735547	-0.093601751
3.6835367	-0.094114499
3.6935187	-0.094628674
3.7035007	-0.095144278
3.7134827	-0.09566131
3.7234647	-0.09617977
3.7334467	-0.096699658
3.7434287	-0.097220976
3.7534107	-0.097743723
3.7633927	-0.0982679
3.7733747	-0.098793506
3.7833567	-0.099320543
3.7933387	-0.09984901
3.8033207	-0.10037891
3.8133027	-0.10091024
3.8232847	-0.101443
3.8332667	-0.10197719
