Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
10000000	-0.018988416	0.10482372	-5.7409003e-07	-0.066070801
2.0995e+08	0.0050115995	-1.3700469	-0.00025304518	-1.3871675
4.099e+08	0.0050031962	-2.7276926	-0.00096445847	-2.7083244
6.0985e+08	-0.0023203497	-4.1082416	-0.002134569	-4.0295988
8.098e+08	-0.0021234755	-5.475275	-0.0037629731	-5.3510477
1.00975e+09	-0.0020370565	-6.7642856	-0.0058491081	-6.672728
1.2097e+09	-0.011534126	-8.1065969	-0.0083922506	-7.994696
1.40965e+09	-0.0097271279	-9.4154682	-0.011391516	-9.3170078
1.6096e+09	-0.013672099	-10.79312	-0.014845856	-10.639719
1.80955e+09	-0.015774311	-12.117577	-0.018754059	-11.962884
2.0095e+09	-0.022404071	-13.441583	-0.023114743	-13.286557
2.20945e+09	-0.031441059	-14.809508	-0.02792636	-14.610792
2.4094e+09	-0.042231839	-16.10083	-0.033187188	-15.935641
2.60935e+09	-0.037797716	-17.398556	-0.038895331	-17.261156
2.8093e+09	-0.049320225	-18.716969	-0.045048714	-18.587387
3.00925e+09	-0.048157617	-20.035763	-0.051645081	-19.914382
3.2092e+09	-0.050770827	-21.337568	-0.058681994	-21.242192
3.40915e+09	-0.049861033	-22.66633	-0.066156824	-22.570861
3.6091e+09	-0.05792895	-24.033876	-0.074066749	-23.900436
3.80905e+09	-0.072204821	-25.337599	-0.082408755	-25.230961
4.009e+09	-0.072207719	-26.666882	-0.091179624	-26.562477
4.20895e+09	-0.072780445	-27.979881	-0.10037594	-27.895026
4.4089e+09	-0.082473628	-29.326231	-0.10999406	-29.228646
4.60885e+09	-0.091209866	-30.656286	-0.12003016	-30.563374
4.8088e+09	-0.094130784	-31.930164	-0.13048017	-31.899247
5.00875e+09	-0.10054819	-33.278378	-0.14133981	-33.236296
5.2087e+09	-0.098862059	-34.588608	-0.15260458	-34.574554
5.40865e+09	-0.1088887	-35.942471	-0.16426974	-35.914049
5.6086e+09	-0.12110238	-37.240135	-0.17633031	-37.254808
5.80855e+09	-0.12124896	-38.591549	-0.18878108	-38.596856
6.0085e+09	-0.13126999	-39.892437	-0.20161661	-39.940215
6.20845e+09	-0.14260064	-41.178196	-0.21483118	-41.284905
6.4084e+09	-0.15585424	-42.578068	-0.22841885	-42.630942
6.60835e+09	-0.15727156	-43.830723	-0.24237341	-43.978343
6.8083e+09	-0.17384268	-45.188251	-0.25668839	-45.327118
7.00825e+09	-0.18209077	-46.48732	-0.27135707	-46.677277
7.2082e+09	-0.18706079	-47.795113	-0.28637246	-48.028827
7.40815e+09	-0.19921213	-49.139942	-0.30172729	-49.38177
7.6081e+09	-0.20836541	-50.472794	-0.31741405	-50.736109
7.80805e+09	-0.22688667	-51.763798	-0.33342493	-52.09184
8.008e+09	-0.2326529	-53.067139	-0.34975188	-53.448959
8.20795e+09	-0.24548885	-54.39827	-0.36638653	-54.807457
8.4079e+09	-0.25072378	-55.67783	-0.38332029	-56.167322
8.60785e+09	-0.25980023	-57.059502	-0.40054426	-57.52854
8.8078e+09	-0.27634311	-58.351646	-0.41804927	-58.891092
9.00775e+09	-0.28276131	-59.656853	-0.4358259	-60.254958
9.2077e+09	-0.29907313	-60.922878	-0.45386445	-61.620113
9.40765e+09	-0.29956681	-62.287781	-0.47215493	-62.986529
9.6076e+09	-0.31691012	-63.579369	-0.49068711	-64.354174
9.80755e+09	-0.34396127	-64.877922	-0.5094505	-65.723013
1.00075e+10	-0.33953422	-66.211899	-0.52843434	-67.093009
1.02075e+10	-0.37051842	-67.431625	-0.54763244	-68.464462
1.04074e+10	-0.3770164	-68.823845	-0.56701909	-69.836298
1.06074e+10	-0.399185	-70.108589	-0.58660218	-71.20984
1.08073e+10	-0.39944538	-71.404633	-0.60635041	-72.583662
1.10073e+10	-0.41311365	-72.696617	-0.62627159	-73.959083
1.12072e+10	-0.43089047	-73.961479	-0.64633362	-75.334668
1.14072e+10	-0.44868219	-75.274948	-0.66654422	-76.71173
1.16071e+10	-0.46461147	-76.679916	-0.6868706	-78.088824
1.18071e+10	-0.4707959	-77.885986	-0.70732035	-79.467259
1.2007e+10	-0.49382478	-79.294357	-0.7278601	-80.845581
1.2207e+10	-0.49723181	-80.480232	-0.74849731	-82.225093
1.24069e+10	-0.51386529	-81.913467	-0.76919812	-83.604334
1.26069e+10	-0.51887995	-83.023689	-0.78996987	-84.984599
1.28068e+10	-0.54786325	-84.530251	-0.81077832	-86.36442
1.30068e+10	-0.54684627	-85.776245	-0.83163068	-87.745087
1.32067e+10	-0.57149649	-87.115898	-0.85249245	-89.125124
1.34067e+10	-0.57404238	-88.443581	-0.87337075	-90.505814
1.36066e+10	-0.5988704	-89.471825	-0.89423091	-91.885676
1.38066e+10	-0.60931718	-90.8965	-0.91507996	-93.265984
1.40065e+10	-0.63522816	-92.269661	-0.93588322	-94.645253
1.42065e+10	-0.6445142	-93.764336	-0.95664765	-96.02475
1.44064e+10	-0.65886599	-94.843117	-0.97733867	-97.402984
1.46064e+10	-0.67567974	-96.268463	-0.99796319	-98.781217
1.48063e+10	-0.70224142	-97.474472	-1.0184869	-100.15795
1.50063e+10	-0.71849293	-98.90168	-1.0389166	-101.53445
1.52062e+10	-0.73840415	-100.18143	-1.0592184	-102.9092
1.54062e+10	-0.74419123	-101.48087	-1.0793991	-104.28345
1.56061e+10	-0.77331448	-102.7944	-1.0994253	-105.65571
1.58061e+10	-0.78959632	-104.07929	-1.119304	-107.02722
1.6006e+10	-0.80682153	-105.42519	-1.1390022	-108.39646
1.6206e+10	-0.83020163	-106.66254	-1.158527	-109.76468
1.64059e+10	-0.83618808	-108.0027	-1.1778462	-111.13037
1.66059e+10	-0.86879247	-109.21833	-1.196967	-112.49476
1.68058e+10	-0.88388765	-110.5259	-1.2158582	-113.85634
1.70058e+10	-0.902502	-111.9091	-1.2345269	-115.21634
1.72057e+10	-0.91829914	-113.11282	-1.252943	-116.57326
1.74057e+10	-0.93230683	-114.44503	-1.2711137	-117.9283
1.76056e+10	-0.96893394	-115.65791	-1.2890102	-119.27997
1.78056e+10	-0.98504525	-117.05387	-1.3066398	-120.62947
1.80055e+10	-1.0147066	-118.25706	-1.3239747	-121.97532
1.82055e+10	-1.0233022	-119.54317	-1.3410226	-123.31871
1.84054e+10	-1.0572702	-120.79497	-1.357757	-124.65815
1.86054e+10	-1.0705467	-122.08029	-1.3741857	-125.99484
1.88053e+10	-1.0907645	-123.44467	-1.3902838	-127.3273
1.90053e+10	-1.1164056	-124.57787	-1.4060592	-128.65671
1.92052e+10	-1.1345857	-125.96062	-1.4214884	-129.9816
1.94052e+10	-1.1667556	-127.20724	-1.4365796	-131.30316
1.96051e+10	-1.1733708	-128.44199	-1.4513108	-132.61991
1.98051e+10	-1.2039938	-129.79222	-1.4656905	-133.93303
2.0005e+10	-1.2065276	-130.99069	-1.4796984	-135.24107
2.0205e+10	-1.2546269	-132.2998	-1.493343	-136.5452
2.04049e+10	-1.2658521	-133.54836	-1.5066057	-137.84398
2.06049e+10	-1.28203	-134.81398	-1.5194951	-139.13857
2.08048e+10	-1.3034981	-136.09261	-1.5319945	-140.42754
2.10048e+10	-1.3296927	-137.25861	-1.5441125	-141.71205
2.12047e+10	-1.3651661	-138.67944	-1.5558342	-142.99069
2.14047e+10	-1.3846167	-139.83615	-1.5671683	-144.2646
2.16046e+10	-1.3910024	-141.15031	-1.5781015	-145.53239
2.18046e+10	-1.4437933	-142.32739	-1.5886429	-146.7952
2.20045e+10	-1.4488305	-143.74615	-1.5987806	-148.05166
2.22045e+10	-1.4853512	-144.87964	-1.6085238	-149.30289
2.24044e+10	-1.4820613	-146.19211	-1.6178624	-150.54755
2.26044e+10	-1.5365545	-147.42802	-1.6268057	-151.78675
2.28043e+10	-1.540565	-148.60161	-1.6353452	-153.01916
2.30043e+10	-1.5664526	-149.90881	-1.64349	-154.2459
2.32042e+10	-1.5937176	-151.1516	-1.6512334	-155.46564
2.34042e+10	-1.6013852	-152.33614	-1.6585845	-156.67951
2.36041e+10	-1.6471792	-153.59027	-1.6655381	-157.88619
2.38041e+10	-1.6574312	-154.76961	-1.6721032	-159.08681
2.4004e+10	-1.6846396	-156.02454	-1.678276	-160.28008
2.4204e+10	-1.6962751	-157.20822	-1.6840656	-161.4671
2.44039e+10	-1.7335354	-158.48384	-1.6894695	-162.64661
2.46039e+10	-1.7509836	-159.71841	-1.6944967	-163.81971
2.48038e+10	-1.7638682	-160.92578	-1.699146	-164.98516
2.50038e+10	-1.7895609	-162.03662	-1.7034262	-166.14405
2.52037e+10	-1.8172041	-163.3074	-1.7073375	-167.29515
2.54037e+10	-1.8443323	-164.61943	-1.7108884	-168.43957
2.56036e+10	-1.8597814	-165.68259	-1.7140802	-169.57609
2.58036e+10	-1.8837651	-167.05237	-1.7169212	-170.7058
2.60035e+10	-1.8931085	-168.03615	-1.719414	-171.82752
2.62035e+10	-1.9257936	-169.44215	-1.7215663	-172.94232
2.64034e+10	-1.9530374	-170.59758	-1.7233819	-174.04904
2.66034e+10	-1.9623553	-171.82857	-1.7248682	-175.14876
2.68033e+10	-1.9919976	-172.96465	-1.7260297	-176.24033
2.70033e+10	-2.0038717	-174.00748	-1.7268738	-177.32482
2.72032e+10	-2.0521059	-175.39827	-1.7274058	-178.40111
2.74032e+10	-2.0530498	-176.43593	-1.7276324	-179.47026
2.76031e+10	-2.076792	-177.61868	-1.72756	179.46884
2.78031e+10	-2.1196351	-178.73067	-1.7271948	178.41513
2.8003e+10	-2.1237988	-179.83873	-1.7265439	177.36968
2.8203e+10	-2.1573997	178.86635	-1.725613	176.33147
2.84029e+10	-2.1550987	177.86925	-1.7244099	175.30154
2.86029e+10	-2.1838841	176.461	-1.72294	174.27886
2.88028e+10	-2.2154629	175.33925	-1.7212115	173.26447
2.90028e+10	-2.2012191	174.08487	-1.7192293	172.25734
2.92027e+10	-2.2793896	173.02658	-1.7170021	171.25849
2.94027e+10	-2.2482555	171.85851	-1.7145344	170.26691
2.96026e+10	-2.3328865	170.73137	-1.7118353	169.28358
2.98026e+10	-2.3151271	169.62369	-1.7089089	168.30751
3.00025e+10	-2.3475661	168.47372	-1.7057646	167.33966
3.02025e+10	-2.3406441	167.56129	-1.702406	166.37904
3.04024e+10	-2.361047	166.47745	-1.6988429	165.42662
3.06024e+10	-2.4119167	165.02444	-1.6950782	164.4814
3.08023e+10	-2.3729098	164.25134	-1.6911222	163.54431
3.10023e+10	-2.4150782	163.09451	-1.6869772	162.61439
3.12022e+10	-2.4472256	162.69409	-1.6826537	161.69255
3.14022e+10	-2.4995248	160.90549	-1.6781536	160.77783
3.16021e+10	-2.4945693	160.24086	-1.6734875	159.87113
3.18021e+10	-2.4581344	158.49634	-1.6686568	158.97149
3.2002e+10	-2.5100465	158.37465	-1.6636723	158.07979
3.2202e+10	-2.5349405	156.48309	-1.658535	157.1951
3.24019e+10	-2.524303	155.52808	-1.6532556	156.31827
3.26019e+10	-2.54282	154.58296	-1.6478348	155.44838
3.28018e+10	-2.5450084	153.351	-1.6422833	154.58627
3.30018e+10	-2.6251178	152.46979	-1.6366013	153.73102
3.32017e+10	-2.5470161	151.11554	-1.6307996	152.88346
3.34017e+10	-2.6226845	150.22694	-1.6248779	152.0427
3.36016e+10	-2.54351	149.20296	-1.6188472	151.20952
3.38016e+10	-2.6416571	148.05061	-1.6127065	150.38305
3.40015e+10	-2.553031	147.33046	-1.606467	149.56408
3.42015e+10	-2.5729914	145.77617	-1.6001272	148.75172
