Freq_GHz	S11_meas_dB	S11_meas_deg	S11_fit_dB	S11_fit_deg
10000000	-20.553848	-1.697561	-20.827841	-0.14334798
2.0995e+08	-20.617729	-3.1532671	-20.82213	-3.0087492
4.099e+08	-20.637587	-6.7108517	-20.806074	-5.8695723
6.0985e+08	-20.595375	-9.8499746	-20.779773	-8.7215185
8.098e+08	-20.515047	-13.221498	-20.743391	-11.560405
1.00975e+09	-20.45252	-15.949579	-20.697154	-14.382218
1.2097e+09	-20.365032	-19.25074	-20.641339	-17.183156
1.40965e+09	-20.280479	-22.094978	-20.576274	-19.959676
1.6096e+09	-20.142864	-25.2038	-20.502331	-22.708517
1.80955e+09	-20.024385	-28.377861	-20.419914	-25.426733
2.0095e+09	-19.885355	-31.187044	-20.32946	-28.111705
2.20945e+09	-19.74826	-33.976421	-20.231423	-30.761149
2.4094e+09	-19.638704	-36.74992	-20.126276	-33.373119
2.60935e+09	-19.416901	-39.315407	-20.014497	-35.946001
2.8093e+09	-19.295471	-41.931137	-19.896567	-38.478502
3.00925e+09	-19.104336	-44.248184	-19.772965	-40.969634
3.2092e+09	-18.964174	-46.844391	-19.64416	-43.418696
3.40915e+09	-18.73638	-49.119133	-19.510611	-45.82525
3.6091e+09	-18.542456	-51.526527	-19.372762	-48.189101
3.80905e+09	-18.380014	-53.798622	-19.231036	-50.510269
4.009e+09	-18.159979	-56.055382	-19.085841	-52.788967
4.20895e+09	-17.989161	-58.241127	-18.93756	-55.025576
4.4089e+09	-17.774691	-60.213348	-18.786557	-57.220624
4.60885e+09	-17.598806	-62.264374	-18.63317	-59.37476
4.8088e+09	-17.366264	-64.070641	-18.477719	-61.488737
5.00875e+09	-17.190704	-66.033585	-18.320498	-63.563394
5.2087e+09	-16.98851	-67.740524	-18.161782	-65.599634
5.40865e+09	-16.782099	-69.626991	-18.001822	-67.598417
5.6086e+09	-16.595264	-71.24202	-17.840852	-69.560736
5.80855e+09	-16.393927	-72.845261	-17.679085	-71.487615
6.0085e+09	-16.230654	-74.73912	-17.516715	-73.380093
6.20845e+09	-16.034042	-76.17675	-17.353922	-75.239216
6.4084e+09	-15.82917	-77.943863	-17.190866	-77.066029
6.60835e+09	-15.66134	-79.096794	-17.027696	-78.861572
6.8083e+09	-15.48253	-81.080254	-16.864545	-80.626872
7.00825e+09	-15.297444	-82.322029	-16.701532	-82.36294
7.2082e+09	-15.096404	-83.79435	-16.538767	-84.070764
7.40815e+09	-14.948448	-85.295631	-16.376348	-85.751314
7.6081e+09	-14.768843	-86.680275	-16.214361	-87.405531
7.80805e+09	-14.590231	-88.170815	-16.052887	-89.034329
8.008e+09	-14.429896	-89.298668	-15.891995	-90.638597
8.20795e+09	-14.247375	-90.79908	-15.731748	-92.219193
8.4079e+09	-14.104081	-92.030457	-15.572202	-93.776945
8.60785e+09	-13.900273	-93.434021	-15.413407	-95.312653
8.8078e+09	-13.765073	-94.738052	-15.255407	-96.827088
9.00775e+09	-13.577674	-95.886841	-15.098241	-98.320991
9.2077e+09	-13.456541	-97.107666	-14.941942	-99.795074
9.40765e+09	-13.278379	-98.401588	-14.786541	-101.25002
9.6076e+09	-13.136115	-99.581131	-14.632065	-102.68649
9.80755e+09	-13.004431	-100.84496	-14.478536	-104.10512
1.00075e+10	-12.817554	-101.8493	-14.325974	-105.5065
1.02075e+10	-12.731727	-103.20583	-14.174358	-106.89156
1.04074e+10	-12.528212	-104.3294	-14.023817	-108.25983
1.06074e+10	-12.410942	-105.60153	-13.874213	-109.6132
1.08073e+10	-12.2426	-106.53555	-13.725705	-110.95084
1.10073e+10	-12.118037	-107.71514	-13.578154	-112.27456
1.12072e+10	-11.997673	-108.84428	-13.431715	-113.58351
1.14072e+10	-11.850173	-109.99221	-13.286248	-114.87946
1.16071e+10	-11.708006	-111.30508	-13.141902	-116.16152
1.18071e+10	-11.570101	-112.02351	-12.998537	-117.43141
1.2007e+10	-11.427025	-113.56669	-12.856299	-118.68823
1.2207e+10	-11.308354	-114.15821	-12.715047	-119.93362
1.24069e+10	-11.152659	-115.66003	-12.574925	-121.1667
1.26069e+10	-11.060312	-116.10147	-12.435792	-122.38904
1.28068e+10	-10.920014	-117.82513	-12.297787	-123.59976
1.30068e+10	-10.797815	-118.56228	-12.160772	-124.80039
1.32067e+10	-10.676023	-119.78423	-12.024883	-125.99001
1.34067e+10	-10.535481	-120.74195	-11.889983	-127.17012
1.36066e+10	-10.459529	-121.74188	-11.756206	-128.33982
1.38066e+10	-10.314145	-122.94344	-11.623415	-129.50053
1.40065e+10	-10.236577	-123.79559	-11.491741	-130.65137
1.42065e+10	-10.069528	-124.97506	-11.361051	-131.79371
1.44064e+10	-9.9957905	-125.77248	-11.231472	-132.92666
1.46064e+10	-9.8595276	-126.91409	-11.102873	-134.05157
1.48063e+10	-9.7800579	-127.94819	-10.97538	-135.16754
1.50063e+10	-9.635191	-129.02534	-10.848862	-136.27588
1.52062e+10	-9.5334768	-130.10016	-10.723444	-137.37569
1.54062e+10	-9.4262323	-130.99176	-10.598997	-138.46826
1.56061e+10	-9.3361216	-132.08058	-10.475642	-139.55268
1.58061e+10	-9.2336254	-133.06294	-10.353255	-140.63021
1.6006e+10	-9.1083622	-134.11711	-10.231953	-141.69994
1.6206e+10	-9.0331678	-135.08203	-10.111614	-142.76309
1.64059e+10	-8.8985014	-136.09254	-9.9923551	-143.81877
1.66059e+10	-8.8411493	-137.00285	-9.8740536	-144.86817
1.68058e+10	-8.7368708	-138.08408	-9.7568255	-145.91039
1.70058e+10	-8.6336956	-139.18655	-9.6405507	-146.9466
1.72057e+10	-8.5329533	-140.07281	-9.525343	-147.9759
1.74057e+10	-8.426795	-141.00354	-9.4110844	-148.99945
1.76056e+10	-8.3746939	-142.03966	-9.2978866	-150.01633
1.78056e+10	-8.2525549	-143.01752	-9.1856337	-151.02769
1.80055e+10	-8.1783609	-144.00497	-9.0744355	-152.03261
1.82055e+10	-8.0848751	-144.87381	-8.9641782	-153.03222
1.84054e+10	-8.0025482	-146.0005	-8.8549694	-154.02561
1.86054e+10	-7.9000916	-146.86082	-8.7466975	-155.01387
1.88053e+10	-7.7943516	-147.96342	-8.6394683	-155.9961
1.90053e+10	-7.7393656	-148.81374	-8.533172	-156.97338
1.92052e+10	-7.6339765	-149.83273	-8.4279124	-157.9448
1.94052e+10	-7.5554552	-150.92287	-8.3235819	-158.91144
1.96051e+10	-7.4608693	-151.71603	-8.2202822	-159.87238
1.98051e+10	-7.3694019	-152.9969	-8.1179075	-160.82868
2.0005e+10	-7.2780523	-153.57323	-8.0165579	-161.77944
2.0205e+10	-7.2197509	-154.88461	-7.9161294	-162.72567
2.04049e+10	-7.1291223	-155.67496	-7.8167199	-163.6665
2.06049e+10	-7.0541973	-156.73291	-7.7182275	-164.60294
2.08048e+10	-6.9687052	-157.62181	-7.6207483	-165.53409
2.10048e+10	-6.9341645	-158.53857	-7.524182	-166.46094
2.12047e+10	-6.8268776	-159.83575	-7.4286227	-167.38263
2.14047e+10	-6.7660465	-160.61749	-7.3339721	-168.30011
2.16046e+10	-6.643261	-161.52434	-7.2403223	-169.21253
2.18046e+10	-6.6608968	-162.51282	-7.1475768	-170.12083
2.20045e+10	-6.5213695	-163.55344	-7.0558256	-171.02416
2.22045e+10	-6.5038548	-164.56984	-6.9649742	-171.92345
2.24044e+10	-6.3597775	-165.40106	-6.8751104	-172.81784
2.26044e+10	-6.3496833	-166.56178	-6.7861416	-173.70827
2.28043e+10	-6.2451711	-167.25385	-6.6981536	-174.59387
2.30043e+10	-6.1798267	-168.50043	-6.6110555	-175.47557
2.32042e+10	-6.1212001	-169.33716	-6.5249311	-176.35251
2.34042e+10	-6.0317798	-170.2334	-6.4396911	-177.22559
2.36041e+10	-6.0124412	-171.28345	-6.3554175	-178.09397
2.38041e+10	-5.9110837	-172.15729	-6.2720227	-178.95855
2.4004e+10	-5.8653402	-173.20703	-6.1895866	-179.81847
2.4204e+10	-5.8020444	-174.05861	-6.1080232	179.32538
2.44039e+10	-5.7340765	-175.11314	-6.0274105	178.47382
2.46039e+10	-5.682054	-176.07068	-5.9476642	177.62601
2.48038e+10	-5.5891476	-177.06816	-5.8688603	176.78276
2.50038e+10	-5.5632129	-177.93724	-5.790916	175.94321
2.52037e+10	-5.5044193	-178.89264	-5.7139054	175.1082
2.54037e+10	-5.4445553	179.92068	-5.6377474	174.27686
2.56036e+10	-5.3919902	179.21887	-5.5625139	173.45003
2.58036e+10	-5.3185306	177.84795	-5.4881256	172.62686
2.60035e+10	-5.2692699	177.32701	-5.4146525	171.80816
2.62035e+10	-5.2116957	175.98203	-5.3420166	170.99311
2.64034e+10	-5.1764569	175.15106	-5.2702861	170.18251
2.66034e+10	-5.0988779	174.02658	-5.1993845	169.37555
2.68033e+10	-5.063921	173.14345	-5.1293782	168.57302
2.70033e+10	-5.006125	172.52736	-5.0601922	167.77411
2.72032e+10	-4.9839916	171.12509	-4.9918908	166.97962
2.74032e+10	-4.9152761	170.40933	-4.9244007	166.18875
2.76031e+10	-4.8557239	169.42429	-4.8577844	165.40228
2.78031e+10	-4.847137	168.5956	-4.7919699	164.61942
