Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
10000000	0.9978146	0.0018255228	0.99999927	-0.0011531527	-0.018988416	-5.7409003e-07
2.0995e+08	1.0002911	-0.02392335	0.99967781	-0.02420757	0.0050115995	-0.00025304518
4.099e+08	0.99944252	-0.047616656	0.99877211	-0.047246331	0.0050031962	-0.00096445847
6.0985e+08	0.99716407	-0.071621783	0.99728277	-0.070254536	-0.0023203497	-0.002134569
8.098e+08	0.99519414	-0.095392874	0.99521076	-0.0932173	-0.0021234755	-0.0037629731
1.00975e+09	0.99280626	-0.11775738	0.99255745	-0.11611977	-0.0020370565	-0.0058491081
1.2097e+09	0.98869365	-0.14082809	0.98932461	-0.13894711	-0.011534126	-0.0083922506
1.40965e+09	0.98542386	-0.1634092	0.98551436	-0.16168457	-0.0097271279	-0.011391516
1.6096e+09	0.98076475	-0.18696883	0.98112922	-0.1843174	-0.013672099	-0.014845856
1.80955e+09	0.97594488	-0.20953763	0.97617211	-0.20683095	-0.015774311	-0.018754059
2.0095e+09	0.97010195	-0.23185503	0.97064631	-0.22921062	-0.022404071	-0.023114743
2.20945e+09	0.96328777	-0.25468263	0.9645555	-0.25144191	-0.031441059	-0.02792636
2.4094e+09	0.95611507	-0.27598344	0.95790373	-0.27351039	-0.042231839	-0.033187188
2.60935e+09	0.95010436	-0.29771836	0.95069544	-0.29540175	-0.037797716	-0.038895331
2.8093e+09	0.94175261	-0.31907657	0.94293544	-0.31710176	-0.049320225	-0.045048714
3.00925e+09	0.93428457	-0.34071234	0.93462893	-0.33859633	-0.048157617	-0.051645081
3.2092e+09	0.92602419	-0.3617414	0.92578148	-0.35987149	-0.050770827	-0.058681994
3.40915e+09	0.91748279	-0.38315801	0.91639906	-0.38091342	-0.049861033	-0.066156824
3.6091e+09	0.90723396	-0.40456948	0.90648797	-0.40170843	-0.05792895	-0.074066749
3.80905e+09	0.89631985	-0.42440829	0.89605492	-0.42224301	-0.072204821	-0.082408755
4.009e+09	0.8862328	-0.44508701	0.88510698	-0.44250379	-0.072207719	-0.091179624
4.20895e+09	0.87574357	-0.46524674	0.87365159	-0.4624776	-0.072780445	-0.10037594
4.4089e+09	0.86360603	-0.48515312	0.86169655	-0.48215146	-0.082473628	-0.10999406
4.60885e+09	0.85125547	-0.50456047	0.84925002	-0.50151259	-0.091209866	-0.12003016
4.8088e+09	0.83954556	-0.52318452	0.83632052	-0.52054842	-0.094130784	-0.13048017
5.00875e+09	0.82639255	-0.54239213	0.82291694	-0.5392466	-0.10054819	-0.14133981
5.2087e+09	0.81393223	-0.56125542	0.8090485	-0.55759502	-0.098862059	-0.15260458
