Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
10000000	-0.13436305	-0.0051879412	-0.13636369	-4.3340758e-05	-17.427933	-17.306024
2.0995e+08	-0.13565401	-0.0014987813	-0.13638931	-0.00090982948	-17.350817	-17.3042
4.099e+08	-0.13635279	-0.0033223178	-0.13646151	-0.0017757196	-17.304142	-17.299062
6.0985e+08	-0.13638339	-0.004723552	-0.13658028	-0.0026404408	-17.299564	-17.290617
8.098e+08	-0.13641758	-0.0069361345	-0.13674563	-0.0035034218	-17.29138	-17.278881
1.00975e+09	-0.13645808	-0.0080209454	-0.13695758	-0.0043640902	-17.285036	-17.263871
1.2097e+09	-0.13643224	-0.010182436	-0.13721612	-0.0052218724	-17.277536	-17.245612
1.40965e+09	-0.13733764	-0.011191237	-0.13752127	-0.0060761926	-17.215466	-17.224133
1.6096e+09	-0.13723474	-0.012975813	-0.13787303	-0.006926473	-17.212065	-17.199466
1.80955e+09	-0.13822271	-0.01497669	-0.13827142	-0.0077721333	-17.137722	-17.171652
2.0095e+09	-0.13866677	-0.016448051	-0.13871645	-0.0086125901	-17.099874	-17.140732
2.20945e+09	-0.13870868	-0.017792245	-0.13920813	-0.0094472568	-17.087053	-17.106752
2.4094e+09	-0.13968132	-0.019799412	-0.13974648	-0.010275543	-17.010839	-17.069765
2.60935e+09	-0.14001165	-0.021553907	-0.14033151	-0.011096855	-16.974995	-17.029824
2.8093e+09	-0.14111482	-0.023088106	-0.14096325	-0.011910593	-16.89382	-16.986987
3.00925e+09	-0.14105664	-0.024371709	-0.1416417	-0.012716155	-16.884378	-16.941314
3.2092e+09	-0.1429497	-0.025842044	-0.14236688	-0.013512932	-16.756676	-16.89287
3.40915e+09	-0.14308059	-0.027560516	-0.14313882	-0.01430031	-16.730165	-16.841719
3.6091e+09	-0.14387719	-0.029327903	-0.14395753	-0.015077671	-16.663357	-16.78793
3.80905e+09	-0.14500144	-0.030461562	-0.14482302	-0.015844387	-16.584997	-16.731574
4.009e+09	-0.1458301	-0.032681401	-0.14573532	-0.016599828	-16.510239	-16.67272
4.20895e+09	-0.14736632	-0.033697556	-0.14669444	-0.017343355	-16.41069	-16.611443
4.4089e+09	-0.14778958	-0.035731537	-0.14770039	-0.018074323	-16.360403	-16.547815
4.60885e+09	-0.14934943	-0.036675364	-0.14875318	-0.018792077	-16.261627	-16.481911
4.8088e+09	-0.1498584	-0.038836448	-0.14985284	-0.019495957	-16.204079	-16.413806
5.00875e+09	-0.15135742	-0.040024526	-0.15099936	-0.020185296	-16.106384	-16.343575
5.2087e+09	-0.15240528	-0.041281745	-0.15219276	-0.020859415	-16.032507	-16.271294
5.40865e+09	-0.15395987	-0.043254625	-0.15343305	-0.02151763	-15.921911	-16.197036
5.6086e+09	-0.15514023	-0.04430497	-0.15472021	-0.022159245	-15.845021	-16.120876
5.80855e+09	-0.156078	-0.045936876	-0.15605426	-0.022783557	-15.772372	-16.042889
6.0085e+09	-0.15837795	-0.04732211	-0.15743519	-0.023389855	-15.634723	-15.963147
6.20845e+09	-0.15898506	-0.048641111	-0.15886299	-0.023977414	-15.584273	-15.881722
6.4084e+09	-0.16117651	-0.050270705	-0.16033764	-0.024545502	-15.450788	-15.798686
6.60835e+09	-0.16151731	-0.051154657	-0.16185913	-0.025093377	-15.420479	-15.714108
6.8083e+09	-0.16440375	-0.052757873	-0.16342744	-0.025620286	-15.256091	-15.628057
7.00825e+09	-0.16558091	-0.053978007	-0.16504252	-0.026125464	-15.181181	-15.540601
7.2082e+09	-0.16714711	-0.055930694	-0.16670436	-0.026608139	-15.077091	-15.451805
7.40815e+09	-0.16921008	-0.056304808	-0.16841291	-0.027067523	-14.975417	-15.361733
7.6081e+09	-0.17090668	-0.057552286	-0.17016811	-0.027502821	-14.878313	-15.270449
7.80805e+09	-0.17355187	-0.059363576	-0.17196991	-0.027913224	-14.730887	-15.178013
8.008e+09	-0.17447355	-0.06034681	-0.17381824	-0.028297912	-14.674653	-15.084485
8.20795e+09	-0.17725253	-0.061846291	-0.17571303	-0.028656056	-14.529219	-14.989923
8.4079e+09	-0.17842111	-0.062206418	-0.1776542	-0.02898681	-14.472864	-14.894382
8.60785e+09	-0.1814496	-0.064174139	-0.17964164	-0.029289321	-14.313023	-14.797919
8.8078e+09	-0.18308522	-0.064484218	-0.18167526	-0.029562722	-14.239074	-14.700585
9.00775e+09	-0.18516217	-0.066624336	-0.18375493	-0.029806132	-14.120217	-14.602431
